Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
(sich) fürchten,,,verb,,,,,,,
Fabrik,die,-en,noun,factory,কারখানা / ফ্যাক্টরি,,,Ich arbeite in einer Autofabrik.,,
Fach,das,¨-er,noun,compartment / subject / field,বগি / বিষয় / ক্ষেত্র,,,Die Handtücher sind im obersten Fach links.,,
Fachfrau,die,-en,noun,specialist / expert (female),বিশেষজ্ঞ (মহিলা),,,,,
Fachleute,,,noun,specialists / experts (pl.),বিশেষজ্ঞরা (বহুবচন),,,Die suchen Fachleute für dieses Computerprogramm.,,
Fachmann,der,Fachleute,noun,specialist / expert (male),বিশেষজ্ঞ (পুরুষ),,,Meine Schwester ist Computerfachfrau.,,
Fahrbahn,die,-en,noun,roadway / lane,রাস্তা / গাড়ির পথ,,,Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.,,
fahren,,,verb,to drive / go / travel,চালানো / যাওয়া / ভ্রমণ করা,gefahren,ist/hat,Wir sind mit dem Zug gefahren.,,
Fahrer,der,-,noun,driver (male),চালক (পুরুষ),,,Während der Fahrt bitte nicht mit dem Fahrer sprechen!,,
Fahrerin,die,-nen,noun,driver (female),চালক (মহিলা),,,Die Fahrerin des Wagens wurde nicht verletzt.,,
Fahrkarte,die,-n,noun,ticket (for travel),টিকিট (ভ্রমণের),,,Fahrkarten können Sie am Schalter kaufen.,"D: Fahrkarte, CH: Billett",
Fahrplan,der,¨-e,noun,schedule / timetable,সময়সূচী / সময়তালিকা,,,Der Fahrplan hat sich geändert.,,
Fahrrad,das,¨-er,noun,bicycle / bike,সাইকেল / বাইসাইকেল,,,Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.,"D/A: Fahrrad/Rad, CH: Velo",
Fahrzeug,das,-e,noun,vehicle,যানবাহন / গাড়ি,,,Wem gehört das Fahrzeug?,,
fair,,,adj,fair / just,ন্যায্য / সুষ্ঠু,,,"Ich finde, unsere Mannschaft hat sehr fair gespielt.",,
Faktor,der,-en,noun,factor,গুণক / ফ্যাক্টর,,,Die Creme hat einen hohen Sonnenschutzfaktor.,,
Fall,der,¨-e,noun,case / fall / situation,ক্ষেত্র / ঘটনা / অবস্থা,,,Was würden Sie in diesem Fall tun?,,
fallen,,,verb,to fall / drop,পড়ে যাওয়া / পতিত হওয়া,gefallen,ist,Das Glas ist auf den Boden gefallen.,,
falls,,,conjunction,if / in case,যদি / ক্ষেত্রে,,,"Falls es regnet, machen wir kein Picknick.",,
falsch,,,adj,wrong / false / incorrect,ভুল / মিথ্যা / ত্রুটিপূর্ণ,,,"Tut mir leid, ich habe die falsche Nummer gewählt.",,
Familie,die,-n,noun,family,পরিবার,,,Ich habe eine große Familie.,,
Familienname,der,-n,noun,surname / family name,পদবি / পরিবারের নাম,,,Mein Familienname ist Müller.,,
Familienstand,der,,noun,marital status,বৈবাহিক অবস্থা,,,"Bei ""Familienstand"" musst du ""ledig"" ankreuzen.","D/A: Familienstand, CH: Zivilstand",
fangen,,,verb,to catch,ধরা / পাকড়াও করা,gefangen,hat,Das Kind hat den Ball gefangen.,,
