Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
nach,,,preposition,after / to,পরে / দিকে / অনুযায়ী,,,Nach der Arbeit gehe ich einkaufen.,,
Nachbar,der,-n,noun,neighbor (male),প্রতিবেশী (পুরুষ),,,Mein Nachbar hat einen Hund.,,
Nachbarin,die,-nen,noun,neighbor (female),প্রতিবেশী (মহিলা),,,Meine Nachbarin ist sehr freundlich.,,
nachdem,,,conjunction,after (temporal),পরে / করার পর,,,"Nachdem ich gegessen hatte, ging ich schlafen.",,
nachdenken,,,verb,to think / reflect,চিন্তা করা / ভাবা,nachgedacht,hat,Ich muss darüber nachdenken.,,
Nachfrage,die,-n,noun,demand / inquiry,চাহিদা / জিজ্ঞাসা,,,Die Nachfrage nach Wohnungen ist gross.,,
nachher,,,adv,later / afterwards,পরে / এরপর,,,Wir können nachher darüber sprechen.,,
Nachhilfe,die,-n,noun,tutoring / extra lessons,টিউশনি / অতিরিক্ত পড়াশোনা,,,Mein Sohn braucht Nachhilfe in Mathe.,,
Nachricht,die,-en,noun,message / news,খবর / বার্তা / সংবাদ,,,Ich habe eine wichtige Nachricht bekommen.,,
nachschlagen,,,verb,to look up (in a book),খোঁজা / দেখা (বইয়ে),nachgeschlagen,hat,"Wenn du ein Wort nicht kennst, schlag es im Wörterbuch nach.",,
Nachspeise,die,-n,noun,dessert,ডেজার্ট / মিষ্টান্ন,,,Dafuer nehme ich keine Nachspeise.,,
nacht,,,,,,,,,,
Nachteil,der,-e,noun,disadvantage,অসুবিধা / ক্ষতি,,,Diese Methode hat viele Nachteile.,,
Nachwuchs,der,-,noun,offspring / new generation,সন্তান / নতুন প্রজন্ম,,,Unser Verein fördert den Nachwuchs.,,
Nadel,die,-n,noun,needle,সুই / সূচ,,,Ich brauche eine Nadel und Faden.,,
Nagel,der,¨-,noun,nail (finger/toe/metal),পেরেক / নখ,,,Er hat sich den Nagel eingerissen.,,
nah,,,adj,near / close,কাছের / নিকটবর্তী,,,Das Kino ist ganz nah.,,
nahe,,,adj,near / close,কাছের / নিকটবর্তী,,,Das Hotel liegt nahe am Bahnhof.,,
Nahrungsmittel,das,-,noun,foodstuff / food,খাদ্যদ্রব্য / খাবার,,,Wir müssen mehr Nahrungsmittel kaufen.,,
Name,der,-n,noun,name,নাম,,,Wie ist Ihr Name?,,
Nase,die,-n,noun,nose,নাক,,,Die Nase des Hundes ist nass.,,
nass,,,adj,wet,ভেজা,,,Deine Schuhe sind ganz nass.,,
national,,,adj,national,জাতীয় / রাষ্ট্রীয়,,,Das ist ein nationaler Feiertag.,,
Natur,die,,noun,nature,প্রকৃতি,,,Wir verbringen viel Zeit in der Natur.,,
natürlich,,,adj,natural / naturally / of course,প্রাকৃতিক / স্বাভাবিকভাবে / অবশ্যই,,,Natürlich helfe ich dir.,,
Nebel,der,-,noun,fog / mist,কুয়াশা,,,Heute Morgen war viel Nebel.,,
neben,,,preposition,next to / beside / besides,পাশে / beside / ছাড়াও,,,Das Hotel liegt neben dem Bahnhof.,,
nebenan,,,adv,next door,পাশের বাড়িতে / সংলগ্ন,,,Die Familie nebenan hat drei Kinder.,,
nebenbei,,,adv,on the side / incidentally / by the way,পাশাপাশি / এদিকে-ওদিকে,,,Sie arbeitet nebenbei als Kellnerin.,,
neblig,,,adj,foggy / misty,কুয়াশাচ্ছন্ন,,,Es ist heute neblig.,,
Neffe,der,-n,noun,nephew,ভাগ্নে / ভাইপো,,,Mein Neffe ist fünf Jahre alt.,,
negativ,,,adj,negative,নেতিবাচক / ঋণাত্মক,,,Die Antwort war negativ.,,
nehmen,,,verb,to take,নেওয়া,genommen,hat,Nehmen Sie bitte Platz.,,
nein,,,particle,no,না,,,"Nein, das stimmt nicht.",,
nennen,,,verb,to name / call,নাম দেওয়া / ডাকা,genannt,hat,Man nennt ihn nur beim Vornamen.,,
Nerv,der,-en,noun,nerve,স্নায়ু / নার্ভ,,,Er hat ruhige Nerven.,,
nervös,,,adj,nervous,স্নায়বিক / নার্ভাস,,,Vor der Prüfung war ich sehr nervös.,,
nett,,,adj,nice / kind,ভদ্র / সদয় / চমৎকার,,,Deine Schwester ist sehr nett.,,
Netz,das,-e,noun,net / network,জাল / নেটওয়ার্ক / নেট,,,Das Internet ist ein weltweites Netz.,,
Netzwerk,das,-e,noun,network,নেটওয়ার্ক,,,Wir haben ein gutes Netzwerk aufgebaut.,,
neu,,,adj,new,নতুন,,,Ich brauche ein neues Handy.,,
neugierig,,,adj,curious / nosy,কৌতূহলী,,,Das Kind ist sehr neugierig.,,
Neuigkeit,die,-en,noun,news / novelty,খবর / নতুনত্ব,,,Hast du eine Neuigkeit gehört?,,
neulich,,,adv,recently / the other day,সম্প্রতি / কিছুদিন আগে,,,Neulich habe ich deine Mutter getroffen.,,
nicht,,,adv,not,না,,,Das weiß ich nicht.,,
Nichte,die,-n,noun,niece,ভাইঝি / ভাগ্নী,,,Meine Nichte ist heute angekommen.,,
Nichtraucher,der,-,noun,non-smoker (male),ধূমপায়ী নয় (পুরুষ),,,In diesem Restaurant gibt es einen Nichtraucherbereich.,,
Nichtraucherin,die,-nen,noun,non-smoker (female),ধূমপায়ী নয় (মহিলা),,,Sie ist überzeugte Nichtraucherin.,,
nichts,,,pronoun,nothing,কিছুই না,,,Ich habe nichts gesagt.,,
nie,,,adv,never,কখনও না,,,Ich war noch nie in Berlin.,,
niedrig,,,adj,low,নিচু / নিম্ন,,,Die Preise sind sehr niedrig.,,
niemand,,,pronoun,nobody / no one,কেউ না / কেহ না,,,Niemand war zu Hause.,,
nirgends,,,adv,nowhere,কোথাও না,,,Ich kann meinen Schlüssel nirgends finden.,,
nirgendwo,,,adv,nowhere,কোথাও না,,,Dieses Buch ist nirgendwo zu kaufen.,,
noch,,,adv,still / yet / more,এখনও / আরও / এখনো,,,Ich habe noch kein Auto.,,
noch mal,,,adv,again,আবার / আরেকবার,,,Kannst du das noch mal sagen?,,
nochmals,,,adv,once again,আবারও / পুনরায়,,,Bitte wiederholen Sie das nochmals.,,
normal,,,adj,normal,স্বাভাবিক / সাধারণ,,,Das ist völlig normal.,,
normalerweise,,,adv,normally / usually,সাধারণত / সাধারণভাবে,,,Normalerweise stehe ich um sieben Uhr auf.,,
Not-,,,prefix,emergency (prefix),জরুরি (উপসর্গ),,,Der Notarzt kam sofort.,,
Notaufnahme,die,-n,noun,emergency room / admission,জরুরি বিভাগ,,,Der Patient wurde in die Notaufnahme gebracht.,,
Notausgang,der,¨-e,noun,emergency exit,জরুরি প্রস্থান,,,Der Notausgang ist hinten links.,,
Note,die,-n,noun,grade / note / musical note,গ্রেড / নম্বর / সুর,,,In der Schule habe ich gute Noten.,,
Notfall,der,¨-e,noun,emergency,জরুরি অবস্থা,,,Im Notfall rufen Sie 112 an.,,
notieren,,,verb,to note down / write down,লেখা / নোট করা,notiert,hat,Ich habe mir seine Telefonnummer notiert.,,
Notiz,die,-en,noun,note / memo,নোট / টিকা,,,Mach dir bitte eine Notiz.,,
Notruf,der,-e,noun,emergency call,জরুরি কল / জরুরি ফোন,,,Wählen Sie bei einem Unfall den Notruf 112.,,
notwendig,,,adj,necessary / essential,অপরিহার্য / প্রয়োজনীয়,,,Eine gründliche Vorbereitung ist notwendig.,,
Nudel,die,-n,noun,noodle / pasta,নুডল / পাস্তা,,,Wir essen heute Nudeln mit Tomatensoße.,,
Nummer,die,-n,noun,number,নম্বর / সংখ্যা,,,Meine Telefonnummer ist 0176 123456.,,
nun,,,adv,now / well,এখন / তাহলে,,,Nun müssen wir uns beeilen.,,
nur,,,adv,only / just,শুধু / কেবল / মাত্র,,,Ich möchte nur kurz fragen.,,
nutzen,,,verb,to use / make use of,ব্যবহার করা / কাজে লাগানো,genutzt,hat,"Ich nutze die Möglichkeit, Deutsch zu lernen.",,
nächst-,,,adj,next,পরবর্তী / আগামী,,,Nächste Woche fahren wir nach Berlin.,,
Nähe,die,,noun,vicinity / nearness / proximity,নিকটবর্তিতা / সন্নিকট,,,In der Nähe von Köln gibt es viele schöne Städte.,,
nähen,,,verb,to sew,সেলাই করা,genäht,hat,Meine Oma hat mir ein Kleid genäht.,,
nämlich,,,adv,namely / you see,অর্থাৎ / কারণ / আসলে,,,"Ich kann nicht kommen, ich habe nämlich keine Zeit.",,
nötig,,,adj,necessary,প্রয়োজনীয় / দরকারি,,,Ist das wirklich nötig?,,
nützen,,,verb,to be of use / help / benefit,উপকারে আসা / কাজে লাগা,genützt,hat,Diese Informationen nützen mir sehr.,,
nützlich,,,adj,useful,উপযোগী / কাজের,,,Vielen Dank für den nützlichen Tipp.,,
