Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
e-card,die,,noun,"e-card (health insurance, Austria)","ই-কার্ড (স্বাস্থ্য বীমা, অস্ট্রিয়া)",,,Haben Sie Ihre e-card dabei?,"A: e-card, D: Versichertenkarte",
eben,,,adv,just / exactly / flat,এইমাত্র / ঠিক,,,Ich bin eben erst angekommen.,,
ebenfalls,,,adv,likewise / also,একইভাবে / আরও,,,"Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls.",,
ebenso,,,adv,just as / likewise,ঠিক তেমনই / একইরকম,,,"Schöne Feiertage. – Danke, ebenso.",,
ec-Karte,die,,noun,EC card / debit card,ইসি কার্ড / ডেবিট কার্ড,,,Sie können auch mit der ec-Karte zahlen.,A: Bankomat-Karte,
echt,,,adj,real / genuine / really,আসল / খাঁটি / সত্যিই,,,Der Film war echt gut.,,
Eck,das,-en,noun,corner (Austria),কোণ (অস্ট্রিয়া),,,Das Regal stellen wir hier ins Eck.,"A: Eck, D/CH: Ecke",
Ecke,die,-n,noun,corner (Germany/Switzerland),কোণ (জার্মানি/সুইজারল্যান্ড),,,Das Regal stellen wir hier in die Ecke.,"D/CH: Ecke, A: Eck",
eckig,,,adj,angular / square / cornered,কৌণিক / চারকোণা,,,"Ich möchte einen eckigen Tisch, keinen runden.",,
egal,,,adj,all the same / doesn't matter,কিছু যায় আসে না / সমান,,,"Es ist mir ganz egal, was die Leute denken.",,
Ehe,die,-n,noun,marriage,বিবাহ / দাম্পত্য,,,Sie hat zwei Kinder aus erster Ehe.,,
Ehefrau,die,-en,noun,wife,স্ত্রী,,,Wie heißt Ihre Ehefrau mit Vornamen?,,
Ehemann,der,¨-er,noun,husband,স্বামী,,,Wie heißt Ihr Ehemann mit Vornamen?,,
Ehepaar,das,-e,noun,married couple,বিবাহিত দম্পতি,,,Das Ehepaar unter uns hat zwei Kinder.,,
eher,,,adv,earlier / rather / sooner,বরং / আগে / শীঘ্র,,,"Michael sieht gerne Serien, ich mag eher Krimis.",,
ehrlich,,,adj,honest / honestly,সৎ / সততার সাথে,,,Sie ist ein ehrlicher Mensch.,,
eigen-,,,adj,own,নিজস্ব / নিজের,,,Fast jedes Kind hat ein eigenes Zimmer.,,
eigentlich,,,adv,actually / really,আসলে / প্রকৃতপক্ষে,,,"Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.",,
Eile,die,,noun,hurry / haste,তাড়াতাড়ি / ত্বরা,,,Ich bin sehr in Eile.,,
eilen,,,verb,to hurry / rush,তাড়াতাড়ি করা,geeilt,hat/ist,Es eilt sehr. Bitte machen Sie schnell.,,
eilig,,,adj,hurried / in a hurry,তাড়াহুড়ো / ব্যস্ত,,,Hast du es eilig?,,
ein bisschen,,,quantifier,a little / a bit,একটু / সামান্য,,,Möchten Sie noch ein bisschen Reis?,,
ein-,,,numeral,one / a / an,এক / একটি,,,Ich nehme ein Bier. Willst du auch eins?,,
Einbahnstraße,die,-n,noun,one-way street,একমুখী রাস্তা,,,Die Goethestraße ist jetzt eine Einbahnstraße.,,
