Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
machen,,,verb,to make / do,করা / বানানো,gemacht,hat,Was machst du am Wochenende?,,
Mädchen,das,-,noun,girl,মেয়ে,,,Familie Kurz hat zwei Mädchen und einen Jungen.,,
Magazin,das,-e,noun,magazine,ম্যাগাজিন,,,Jugendliche lesen dieses Magazin gern.,,
Magen,der,¨-,noun,stomach,পাকস্থলী / পেট,,,Mir tut der Magen weh. Ich habe Magenschmerzen.,,
mager,,,adj,lean / low-fat / thin,চর্বিহীন / রোগা,,,Bitte 1 kg mageres Fleisch.,,
Mahlzeit,die,-en,noun,meal / mealtime,খাবার / আহার,,,Die Tropfen bitte immer nach den Mahlzeiten einnehmen.,,
Mahnung,die,-en,noun,reminder / dunning letter,স্মরণপত্র / তাগাদা,,,"Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.",,
Mal,das,-e,noun,time / occasion,বার / সময়,,,Das machen wir nächstes Mal.,,
malen,,,verb,to paint / draw,আঁকা / রং করা,gemalt,hat,Das Bild hat mein Vater gemalt.,,
Maler,der,-,noun,painter (male),চিত্রকর (পুরুষ),,,Wir haben die Maler im Haus.,,
Malerin,die,-nen,noun,painter (female),চিত্রকর (মহিলা),,,Die Malerin stellt ihre Bilder aus.,,
man,,,pronoun,one / you / they (impersonal),লোকজন / মানুষ (অনির্দিষ্ট),,,Wie schreibt man das?,,
manch-,,,pronoun,some / many a,কিছু / কোনো কোনো,,,Manche Nachbarn sind unfreundlich.,,
manchmal,,,adv,sometimes,কখনও কখনও / মাঝে মাঝে,,,Manchmal gehe ich mit meiner Frau ins Café.,,
Mangel,der,¨-,noun,lack / shortage / defect,অভাব / ঘাটতি / ত্রুটি,,,In dieser Stadt gibt es einen großen Mangel an Wohnungen.,,
Mann,der,¨-er,noun,man / husband,পুরুষ / স্বামী,,,In unserer Firma arbeiten fast nur Männer.,,
männlich,,,adj,male / masculine,পুরুষ / পুংলিঙ্গ,,,Kreuzen Sie bitte an: weiblich oder maennlich.,,
Mannschaft,die,-en,noun,team / crew,দল / টিম,,,Unsere Mannschaft hat 0:1 verloren.,,
Mantel,der,¨-,noun,coat / overcoat,কোট / ওভারকোট,,,Es ist sehr kalt. Zieh deinen Mantel an.,,
Mappe,die,-n,noun,folder / briefcase,ফোল্ডার / ফাইল,,,Mein Pass ist in dieser Mappe.,,
Märchen,das,-,noun,fairy tale,রূপকথা / পরী কাহিনী,,,Meine Großmutter hat uns viele Märchen erzählt.,,
Margarine,die,,noun,margarine,মার্জারিন,,,Meine Frau isst nur Margarine und keine Butter.,,
Marille,die,-n,noun,apricot (Austria),এপ্রিকট / খুবানি (অস্ট্রিয়া),,,Schmecken dir die Marillen?,"A: Marille, D/CH: Aprikose",
Marke,die,-n,noun,brand / stamp / mark,ব্র্যান্ড / মার্কা / স্ট্যাম্প,,,Ich brauche bitte fünf Briefmarken zu 1 Euro.,,
markieren,,,verb,to mark / highlight,চিহ্নিত করা / দাগ কাটা,markiert,hat,Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.,,
Markt,der,¨-e,noun,market,বাজার,,,Ich gehe heute auf den Markt.,,
Marmelade,die,-n,noun,jam / marmalade (Germany/Austria),জ্যাম / মোরব্বা (জার্মানি/অস্ট্রিয়া),,,Bring bitte noch ein Glas Marmelade mit.,,
Maschine,die,-n,noun,machine / engine / aircraft,মেশিন / ইঞ্জিন,,,Ich habe eine neue Kaffeemaschine.,,
Material,das,,noun,material,উপাদান / ম্যাটেরিয়াল,,,Aus welchem Material ist der Schrank? – Aus Holz.,,
Matura,die,,noun,school-leaving exam (Austria/Switzerland),স্কুল সমাপনী পরীক্ষা (অস্ট্রিয়া/সুইজারল্যান্ড),,,Meine Tochter hat gerade die Matura gemacht.,"A/CH: Matura, D: Abitur",
Mauer,die,-n,noun,wall (stone/brick),দেওয়াল (পাথর/ইটের),,,Die Kinder sind über die Mauer geklettert.,,
maximal,,,adj,maximum / at most,সর্বোচ্চ,,,Wie lange braucht ein Brief? – Maximal zwei Tage.,,
Mechaniker,der,-,noun,mechanic (male),মেকানিক (পুরুষ),,,Das kann nur ein Mechaniker reparieren.,,
Mechanikerin,die,-nen,noun,mechanic (female),মেকানিক (মহিলা),,,Die Mechanikerin repariert das Auto.,,
Medien,,(Pl.),noun,media,মিডিয়া / গণমাধ্যম,,,Umweltschutz ist in den Medien ein großes Thema.,,
