Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Neujahr,das,,noun,New Year,নববর্ষ,,,,,
Ostern,das,,noun,Easter,ইস্টার,,,,,
Pfingsten,das,,noun,Pentecost/Whitsun,পেন্টেকস্ট,,,,,
Weihnachten,das,,noun,Christmas,ক্রিসমাস,,,,,
Silvester,das,,noun,New Year's Eve,নতুন বছরের আগের দিন,,,,,
Nationalfeiertag,der,-e,noun,national holiday,জাতীয় ছুটির দিন,,,,,
Frühling,der,-e,noun,spring,বসন্ত,,,,das Frühjahr,
Frühjahr,das,-e,noun,spring,বসন্ত,,,,der Frühling,
Sommer,der,-,noun,summer,গ্রীষ্ম,,,,,
Herbst,der,-e,noun,autumn/fall,শরৎ,,,,,
Winter,der,-,noun,winter,শীত,,,,,
Januar,der,-e,noun,January,জানুয়ারি,,,,Jänner (A),
Februar,der,-e,noun,February,ফেব্রুয়ারি,,,,Feber (A),
März,der,-e,noun,March,মার্চ,,,,,
April,der,-e,noun,April,এপ্রিল,,,,,
Mai,der,-e,noun,May,মে,,,,,
Juni,der,-s,noun,June,জুন,,,,,
Juli,der,-s,noun,July,জুলাই,,,,,
August,der,-e,noun,August,আগস্ট,,,,,
September,der,-,noun,September,সেপ্টেম্বর,,,,,
Oktober,der,-,noun,October,অক্টোবর,,,,,
November,der,-,noun,November,নভেম্বর,,,,,
Dezember,der,-,noun,December,ডিসেম্বর,,,,,
Tag,der,-e,noun,day,দিন,,,,"täglich, tagsüber",
Morgen,der,-,noun,morning,সকাল,,,,"morgens, am Morgen; A: in der Früh",
Vormittag,der,-e,noun,late morning / before noon,সকালের শেষ ভাগ,,,,"vormittags, am Vormittag",
Mittag,der,-e,noun,midday/noon,দুপুর,,,,"mittags, zu Mittag, am Mittag",
Nachmittag,der,-e,noun,afternoon,বিকাল,,,,"nachmittags, am Nachmittag",
Abend,der,-e,noun,evening,সন্ধ্যা,,,,"abends, am Abend",
Nacht,die,-“e ,noun,night,রাত,,,,"nachts, in der Nacht",
Mitternacht,die,-“e ,noun,midnight,মধ্যরাত,,,,"um Mitternacht",
Wochentag,der,-e,noun,weekday,সপ্তাহের দিন,,,,"wochentags, werktags",
Wochenende,das,-n,noun,weekend,সপ্তাহান্ত,,,,"am Wochenende",
Montag,der,-e,noun,Monday,সোমবার,,,,"montags, am Montag",
Dienstag,der,-e,noun,Tuesday,মঙ্গলবার,,,,"dienstags, am Dienstag",
Mittwoch,der,-e,noun,Wednesday,বুধবার,,,,"mittwochs, am Mittwoch",
Donnerstag,der,-e,noun,Thursday,বৃহস্পতিবার,,,,"donnerstags, am Donnerstag",
Freitag,der,-e,noun,Friday,শুক্রবার,,,,"freitags, am Freitag",
Samstag,der,-e,noun,Saturday,শনিবার,,,,"samstags, am Samstag; Sonnabend (D)",
Sonntag,der,-e,noun,Sunday,রবিবার,,,,"sonntags, am Sonntag",
Sekunde,die,-n,noun,second,সেকেন্ড,,,,,
Minute,die,-n,noun,minute,মিনিট,,,,,
Stunde,die,-n,noun,hour,ঘন্টা,,,,"stündlich",
Woche,die,-n,noun,week,সপ্তাহ,,,,"wöchentlich",
Monat,der,-e,noun,month,মাস,,,,"monatlich",
Jahr,das,-e,noun,year,বছর,,,,"jährlich",
Jahrzehnt,das,-e,noun,decade,দশক,,,,,
Jahrhundert,das,-e,noun,century,শতাব্দী,,,,,
Jahrtausend,das,-e,noun,millennium,সহস্রাব্দ,,,,,
