Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Jacke,die,-n,noun,jacket,জ্যাকেট,,,Zieh dir eine Jacke an. Es ist kalt.,,
Jause,die,-n,noun,snack (Austria),জলখাবার (অস্ট্রিয়া),,,Es ist Zeit für eine kleine Jause.,"A: Jause, D: Imbiss, CH: Znüni/Zvieri",
je...desto...,,,conjunction,the...the... (comparative),যত...তত...,,,"Je länger ich Deutsch lerne, desto besser kann ich es verstehen.",,
Jeans,die,(Pl.),noun,jeans,জিনস,,,Nicht nur junge Leute tragen Jeans.,,
jeder/jedes/jede,,,pronoun,every / each / everyone,প্রত্যেক / প্রতিটি,,,Das Restaurant hat jeden Tag geöffnet.,,
jederzeit,,,adv,at any time / anytime,যেকোনো সময়,,,Sie können mich jederzeit anrufen.,,
jedes Mal,,,adv,every time / each time,প্রতিবার,,,Inge erzählt die Geschichte jedes Mal anders.,,
jedoch,,,conjunction,however / but,তবে / কিন্তু,,,"Sie ruft immer wieder an, jedoch ohne Erfolg.",,
jemals,,,adv,ever,কখনও,,,"Hast du jemals von dem Problem gehört? – Nein, nie.",,
jemand,,,pronoun,someone / somebody,কেউ / কেউ একজন,,,Hat jemand einen Bleistift für mich?,,
jetzt,,,adv,now,এখন,,,Ich muss jetzt gehen.,,
jeweils,,,adv,respectively / each time,প্রত্যেকবার / যথাক্রমে,,,Der Kurs findet jeweils montags und donnerstags um 18 Uhr statt.,,
Journalist,der,-en,noun,journalist (male),সাংবাদিক (পুরুষ),,,Meine Tochter möchte Journalistin werden.,,
Journalistin,die,-nen,noun,journalist (female),সাংবাদিক (মহিলা),,,Meine Tochter möchte Journalistin werden.,,
Jugend,die,,noun,youth,যৌবন / তরুণ বয়স,,,In meiner Jugend habe ich mich sehr für Musik interessiert.,,
Jugendherberge,die,-n,noun,youth hostel,যুব হোস্টেল,,,Wo habt ihr übernachtet? – In einer Jugendherberge.,,
Jugendliche,der/die,-n,noun,adolescent / teenager / youth,কিশোর / তরুণ,,,Die Jugendlichen gehen gerne in die Disko.,,
jung,,,adj,young,তরুণ / যুবক,,,Für diesen Film bist du noch zu jung.,,
Junge,der,-n,noun,boy (Germany),ছেলে (জার্মানি),,,In der Schulklasse sind 15 Jungen und 10 Mädchen.,"D: Junge, A/CH: Bub",
