Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
U-Bahn,die,-en,noun,subway / underground / metro,সাবওয়ে / মেট্রো / আন্ডারগ্রাউন্ড,,,Ich fahre mit der U-Bahn.,,
ueben,,,verb,to practice / exercise,অনুশীলন করা / চর্চা করা,geuebt,hat,Ich lerne gerade Gitarre spielen. Ich uebe jeden Tag zwei Stunden.,,
Uebung,die,-en,noun,exercise / practice,অনুশীলন / চর্চা / অনুশীলনী,,,Diese Uebung war sehr schwer.,,
ueber,,,preposition,over / above / about / via / more than,উপরে / সম্পর্কে / উপর দিয়ে / বেশি,,,Die Muellers wohnen direkt ueber uns.,,
ueberall,,,adv,everywhere,সব জায়গায় / সর্বত্র,,,"Ich habe ueberall gesucht, aber meine Brille ist weg.",,
ueberfahren,,,verb,to run over (with vehicle),গাড়ি চাপা দেওয়া,ueberfahren,hat,Gestern hat ein Autofahrer einen Hund ueberfahren.,,
ueberhaupt,,,adv,at all / anyway / in general,আদৌ / মোটেও / আদতে,,,Die Suppe schmeckt mir ueberhaupt nicht.,,
ueberholen,,,verb,to overtake / pass,ওভারটেক করা / অতিক্রম করা,ueberholt,hat,Hier duerfen Lkws nicht ueberholen.,,
ueberlegen,,,verb,to think over / consider / ponder,চিন্তা করা / বিবেচনা করা / ভেবে দেখা,ueberlegt,hat,Ich kann mich nicht entscheiden. Ich muss mir das noch ueberlegen.,,
uebermorgen,,,adv,the day after tomorrow,পরশু,,,Morgen kann ich nicht. Wir sehen uns uebermorgen.,,
uebernachten,,,verb,to stay overnight,রাত কাটানো / রাত্রিযাপন করা,uebernachtet,hat,Wir haben auf dem Campingplatz uebernachtet.,,
Uebernachtung,die,-en,noun,overnight stay / accommodation,রাত্রিযাপন / রাত্রিকালীন থাকা,,,In diesem Hotel kostet die Uebernachtung mit Fruehstueck 90 Euro.,,
uebernehmen,,,verb,to take over / accept (responsibility),গ্রহণ করা / দায়িত্ব নেওয়া,uebernommen,hat,Ich habe das Geschaeft von meinem Vater uebernommen.,,
ueberpruefen,,,verb,to check / verify / examine,পরীক্ষা করা / যাচাই করা,ueberprueft,hat,"Bitte ueberpruefen Sie, ob Ihr Name richtig geschrieben ist.",,
ueberqueren,,,verb,to cross (street / river),পাড় হওয়া / অতিক্রম করা,ueberquert,hat,Bitte die Strasse nur an der Ampel ueberqueren.,,
ueberraschen,,,verb,to surprise,অবাক করা / চমকে দেওয়া,ueberrascht,hat,"Ich bin ganz ueberrascht, dass die Wohnung so billig ist.",,
Ueberraschung,die,-en,noun,surprise,বিস্ময় / সারপ্রাইজ / চমক,,,Ich habe eine Ueberraschung fuer dich.,,
ueberreden,,,verb,to persuade / talk into,পটানো / রাজি করানো,ueberredet,hat,"Mein Bruder hat mich ueberredet, einen Englischkurs zu machen.",,
Ueberschrift,die,-en,noun,headline / heading / title,শিরোনাম / হেডলাইন,,,Der Artikel erschien unter der folgenden Ueberschrift.,,
uebersetzen,,,verb,to translate,অনুবাদ করা,uebersetzt,hat,Koennten Sie mir bitte diesen Brief uebersetzen?,,
Uebersetzer,der,-,noun,translator (male),অনুবাদক (পুরুষ),,,Meine Tochter moechte als Uebersetzerin arbeiten.,,
Uebersetzerin,die,-nen,noun,translator (female),অনুবাদক (মহিলা),,,Meine Tochter moechte als Uebersetzerin arbeiten.,,
Uebersetzung,die,-en,noun,translation,অনুবাদ,,,Die Uebersetzung des Buches ist sehr gut.,,
Ueberstunde,die,-n,noun,overtime (hour),ওভারটাইম / অতিরিক্ত কাজের সময়,,,Ich muss heute Ueberstunden machen.,,
uebertreiben,,,verb,to exaggerate / overdo,বাড়াবাড়ি করা / অতিরঞ্জিত করা,uebertrieben,hat,Ein bisschen Sport ist gesund. Aber man sollte es nicht uebertreiben.,,
ueberweisen,,,verb,to transfer (money) / refer (medical),টাকা স্থানান্তর / রেফার করা,ueberwiesen,hat,Ich ueberweise dir das Geld.,,
Ueberweisung,die,-en,noun,bank transfer / referral (medical),ব্যাংক ট্রান্সফার / রেফারেল,,,Sie koennen bar oder per Ueberweisung bezahlen.,,
sich ueberzeugen,,,verb,to convince (oneself) / be convinced,নিশ্চিত হওয়া / বিশ্বাস করানো,ueberzeugt,hat,Ihr Vorschlag ueberzeugt mich gar nicht.,,
Ueberzeugung,die,-en,noun,conviction / belief,প্রত্যয় / দৃঢ় বিশ্বাস,,,Wie bist du zu dieser Ueberzeugung gekommen?,,
ueblich,,,adj,usual / customary / common,সাধারণ / প্রচলিত / স্বাভাবিক,,,"In Deutschland ist es ueblich, frueh zu Abend zu essen.",,
uebrig,,,adj,remaining / left over,অবশিষ্ট / বাকি,,,Ist noch etwas zu essen uebrig?,,
uebrigens,,,adv,by the way / incidentally,উপায়ক্রমে / বলতে গেলে,,,"Uebrigens, kennst du schon die neuen Nachbarn?",,
Ufer,das,-,noun,shore / bank / riverside,তীর / কিনারা,,,Er schwimmt ans Ufer zurueck.,,
Uhr,die,-en,noun,clock / watch / o'clock,ঘড়ি / ঘণ্টা,,,Wie viel Uhr ist es?,,
um,,,preposition,at / around / by (time) / about,এ / প্রায় / দিয়ে (সময়),,,Wir treffen uns um 8 Uhr.,,
umarmen,,,verb,to embrace / hug,আলিঙ্গন করা / জড়িয়ে ধরা,umarmt,hat,Lass dich zum Abschied umarmen.,,
um … zu,,,conjunction,in order to,উদ্দেশ্যে / করার জন্য,,,"Um gesund zu bleiben, musst du Sport machen und Gemuese essen.",,
sich umdrehen,,,verb,to turn around,ঘুরে দাঁড়ানো / পেছনে ফেরা,umgedreht,hat,Dreh dich mal um. Da hinten liegt das Buch doch.,,
Umfrage,die,-n,noun,survey / poll,জরিপ / মতামত জরিপ,,,Wir machen eine Umfrage zum Thema Umweltschutz.,,
Umgebung,die,-en,noun,surroundings / area / vicinity,আশেপাশের এলাকা / পরিবেশ,,,In der Umgebung von Berlin kann man schoene Ausfluege machen.,,
umgehen,,,verb,to handle / deal with,ব্যবহার করা / মোকাবেলা করা,umgegangen,ist,Er kann sehr gut mit Kindern umgehen.,,
umgekehrt,,,adj,vice versa / the other way around / reverse,উল্টো / বিপরীতক্রমে,,,"Nein, umgekehrt: erst der Vorname, dann der Nachname.",,
Umleitung,die,-en,noun,detour / diversion,বিকল্প পথ / ডাইভার্শন,,,Es gibt wegen des Unfalls eine Umleitung.,,
umso,,,adv,all the more / even more,আরও বেশি / ততই,,,"Je frueher wir dort sind, umso besser sind unsere Chancen.",,
umsonst,,,adv,free of charge / in vain / for nothing,বিনামূল্যে / বৃথা,,,Ich musste nichts bezahlen. Die Reparatur war umsonst.,,
umsteigen,,,verb,to change / transfer (trains/buses),ট্রেন/বাস বদলানো,umgestiegen,ist,In Ulm muessen Sie umsteigen.,,
umtauschen,,,verb,to exchange (goods) / change (money),বিনিময় করা / ফেরত দিয়ে বদলানো,umgetauscht,hat,Ich moechte diese Bluse umtauschen. Sie passt mir nicht.,,
Umtausch,der,¨-e,noun,exchange / return (of goods),বিনিময় / ফেরত,,,Ein Umtausch ist leider nicht moeglich.,,
Umwelt,die,,noun,environment,পরিবেশ,,,Alte Autos sind ein Problem fuer die Umwelt.,,
Umweltschutz,der,,noun,environmental protection,পরিবেশ সুরক্ষা,,,Das Land muss mehr Geld fuer Umweltschutz ausgeben.,,
Umweltverschmutzung,die,-en,noun,environmental pollution,পরিবেশ দূষণ,,,Die Umweltverschmutzung nimmt weiter zu.,,
umziehen,,,verb,to move (house) / relocate,বাসা বদলানো / স্থানান্তরিত হওয়া,umgezogen,ist,Familie Meier ist letzten Monat umgezogen.,,
Umzug,der,¨-e,noun,move / relocation / parade,স্থানান্তর / বাসা বদল,,,Der Umzug ist naechste Woche.,,
