Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Cafeteria,die,-s,noun,cafeteria,ক্যাফেটেরিয়া,,,Ich hole mir schnell etwas aus der Cafeteria.,,
Café,das,-s,noun,café / coffee shop,ক্যাফে / কফি হাউস,,,Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.,,
Chance,die,-n,noun,chance / opportunity,সুযোগ / সম্ভাবনা,,,"Mein Mann hat gute Chancen, die Stelle zu bekommen.",,
Chef,der,-s,noun,boss / manager (male),বস / ম্যানেজার (পুরুষ),,,"Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.",,
Chefin,die,-nen,noun,boss / manager (female),বস / ম্যানেজার (মহিলা),,,"Fragen Sie am besten die Chefin, ob das möglich ist.",,
chhauer,,,,,,,,,,
Chipkarte,die,-n,noun,chip card,চিপ কার্ড,,,Ich habe eine Chipkarte für diesen Automaten.,,
Coiffeur,der,-e,noun,"hairdresser (male, Switzerland)","হেয়ারড্রেসার (পুরুষ, সুইজারল্যান্ড)",,,Du siehst toll aus! Wer ist dein Coiffeur?,"CH: Coiffeur, D/A: Friseur",
Coiffeuse,die,-n,noun,"hairdresser (female, Switzerland)","হেয়ারড্রেসার (মহিলা, সুইজারল্যান্ড)",,,Meine Tochter will Coiffeuse werden.,"CH: Coiffeuse, D/A: Friseurin",
Couch,die,-s,noun,couch / sofa,সোফা / কাউচ,,,Wir haben uns eine Couch und neue Sessel gekauft.,,
Cousin,der,-s,noun,cousin (male),কাজিন (পুরুষ),,,Meine Cousine wohnt jetzt in Brasilien.,,
Cousine,die,-n,noun,cousin (female),কাজিন (মহিলা),,,Meine Cousine kommt mich im Sommer besuchen.,,
Couvert,das,-s,noun,envelope (Switzerland),খাম (সুইজারল্যান্ড),,,Ich hätte gern 50 Couverts und Briefmarken dazu.,"CH: Couvert, D: Briefumschlag, A: Kuvert",
Creme,die,-n/-s,noun,cream / lotion,ক্রিম,,,Ich hätte gern eine Creme für die Hände.,,
