Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
(sich) duschen,,,verb,,,,,,,
dabei,,,adv,with it / present / there / at it,সঙ্গে / উপস্থিত / এতে,,,"Schön, dass du da bist. Ist deine Familie auch dabei?",,
Dach,das,¨-er,noun,roof,ছাদ,,,Wir müssen das Dach reparieren lassen.,,
dafür,,,adv,for it / in favor of it,এর জন্য / পক্ষে,,,Meine Schwester interessiert sich für Politik. Ich interessiere mich nicht dafür.,,
dagegen,,,adv,against it / on the other hand,এর বিপক্ষে / অন্যদিকে,,,Sind Sie für oder gegen ein Rauchverbot? – Ich bin dagegen.,,
daher,,,adv,therefore / hence / that's why,সুতরাং / সেই কারণে,,,"Ich bin erkältet, daher kann ich heute nicht kommen.",,
dahin,,,adv,there / to that place / until then,সেখানে / ততক্ষণ পর্যন্ত,,,Der Zug kommt in 30 Minuten. Bis dahin können wir einen Kaffee trinken.,,
damals,,,adv,back then / at that time,তখন / সেই সময়ে,,,Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.,,
Dame,die,-n,noun,lady / woman,মহিলা / ভদ্রমহিলা,,,Meine Damen und Herren!,,
damit,,,adv,with it / so that / in order to,এটি দিয়ে / যাতে,,,"Mach schnell, damit wir nicht zu spät kommen.",,
danach,,,adv,after that / afterwards,তারপরে / এর পরে,,,"Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon.",,
daneben,,,adv,next to it / beside it,এর পাশে,,,"Du weißt doch, wo die Post ist. Gleich daneben ist die Bank.",,
Dank,der,,noun,thanks / gratitude,ধন্যবাদ / কৃতজ্ঞতা,,,Vielen Dank für Ihre Mühe.,,
dankbar,,,adj,grateful / thankful,কৃতজ্ঞ,,,Ich bin Ihnen sehr dankbar für Ihre Hilfe.,,
danke,,,particle,thank you / thanks,ধন্যবাদ,,,"Soll ich Ihnen helfen? Nein, danke, nicht nötig.",,
danken,,,verb,to thank,ধন্যবাদ দেওয়া,gedankt,hat,Ich danke dir für die Einladung.,,
dann,,,adv,then / afterwards,তারপর / তখন,,,"Ich muss noch schnell zur Post, dann komme ich.",,
dapfel,,,,,,,,,,
darstellen,,,verb,to represent / depict / portray,উপস্থাপন করা / চিত্রিত করা,dargestellt,hat,Er konnte das Problem sehr gut darstellen.,,
Darstellung,die,-en,noun,representation / description,উপস্থাপনা / বিবরণ,,,Ihr Buch enthält eine klare Darstellung dieser Probleme.,,
das Auge,das,-n,noun,eye,চোখ,,,Meine beiden Kinder haben blaue Augen.,,
das Ausland,das,,noun,abroad / foreign country,বিদেশ,,,Wir fahren im Urlaub meistens ins Ausland.,,
das Auto,das,-s,noun,car,গাড়ি,,,Mario fährt mit dem Auto zur Arbeit.,,
dass,,,conjunction,that,যে,,,"Rico hat mir gesagt, dass er auch zur Party kommt.",,
dasselbe,,,pronoun,the same (neuter),একই (ক্লীবলিঙ্গ),,,Mein Freund trägt dasselbe T-Shirt wie ich.,,
Datei,die,-en,noun,file (computer),ফাইল (কম্পিউটার),,,Wo hast du die Datei gespeichert?,,
Daten,,,noun,data (plural),ডেটা / তথ্য,,,Wir haben alle Ihre Daten im Computer.,,
Datum,das,Daten,noun,date,তারিখ,,,Welches Datum haben wir heute?,,
Dauer,die,,noun,duration / length,স্থায়িত্ব / সময়কাল,,,Sie können das Buch für die Dauer einer Woche ausleihen.,,
dauern,,,verb,to last / take (time),স্থায়ী হওয়া / সময় লাগা,gedauert,hat,Wie lange dauert die Pause? – Eine halbe Stunde.,,
dauernd,,,adj,constant / continuous / always,অবিরাম / সর্বদা,,,Das dauernde Klingeln des Telefons stört mich.,,
Decke,die,-n,noun,ceiling / blanket,ছাদ / কম্বল,,,Im Wohnzimmer haben wir keine Lampe an der Decke.,,
dekorieren,,,verb,to decorate,সাজানো / সজ্জিত করা,dekoriert,hat,"Hilfst du mir, den Tisch für die Party zu dekorieren?",,
denken,,,verb,to think,চিন্তা করা / ভাবা,gedacht,hat,"Ich denke, dass du recht hast.",,
Denkmal,das,¨-er,noun,monument / memorial,স্মৃতিস্তম্ভ / স্মারক,,,In dieser Stadt gibt es viele berühmte Denkmäler.,,
denn,,,conjunction,because / for / then (particle),কারণ / তবে,,,"Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen.",,
der Auftrag,der,¨-e,noun,order / assignment,আদেশ / কার্যভার,,,Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.,,
der Auftritt,der,-e,noun,performance / appearance,প্রদর্শনী,,,Nach dem Auftritt feiern die Musiker.,,
der Aufzug,der,¨-e,noun,elevator / lift,লিফট,,,Im Büro ist leider der Aufzug kaputt.,D/A: Lift,
der Augenblick,der,-e,noun,moment,মুহূর্ত,,,"Einen Augenblick, bitte!",,
der Ausdruck,der,-e,noun,printout,প্রিন্টআউট,,,Machen Sie doch bitte einen Ausdruck von der E-Mail.,,
der Ausflug,der,¨-e,noun,excursion / trip,ভ্রমণ,,,Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.,,
der Ausgang,der,¨-e,noun,exit,বাহিরের পথ,,,Wo ist der Ausgang bitte?,,
der Ausländer,der,-,noun,foreigner (male),বিদেশী (পুরুষ),,,Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.,,
der Ausweis,der,-e,noun,identification card,পরিচয়পত্র,,,Darf ich mal Ihren Ausweis sehen?,,
der Automat,der,-en,noun,vending machine / automat,ভেন্ডিং মেশিন,,,Zigaretten bekommst du am Automaten.,,
der Autor,der,-en,noun,author (male),লেখক (পুরুষ),,,Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.,,
derselbe,,,pronoun,the same (masculine),একই (পুংলিঙ্গ),,,Mein Freund und ich gehen in dieselbe Schule.,,
deshalb,,,adv,therefore / that's why,সেই কারণে / তাই,,,Ich war krank. Deshalb war ich nicht im Büro.,,
Dessert,das,-s,noun,dessert,ডেজার্ট / মিষ্টান্ন,,,Nach dem Essen gab es noch ein leckeres Dessert.,D/A: Nachspeise,
deswegen,,,adv,therefore / because of that,এ কারণে / তাই,,,Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.,,
det,,,,,,,,,,
Detail,das,-s,noun,detail,বিস্তারিত,,,Dieses Detail ist unwichtig.,,
deutlich,,,adj,clear / distinct,স্পষ্ট,,,Schreiben Sie bitte deutlich!,,
Dialekt,der,-e,noun,dialect,উপভাষা / আঞ্চলিক ভাষা,,,"Ich verstehe dich besser, wenn du nicht Dialekt sprichst.",,
Dialog,der,-e,noun,dialogue,সংলাপ / কথোপকথন,,,Sie hören jetzt einen Dialog.,,
dicht,,,adj,tight / sealed / dense,ঘন / নিবিড় / আঁট,,,Unsere Fenster sind nicht dicht. Es zieht immer.,,
dick,,,adj,thick / fat,মোটা / স্থূল,,,Ich bin zu dick. Ich muss weniger essen.,,
die Ausbildung,die,-en,noun,training / education,প্রশিক্ষণ / শিক্ষা,,,Ich habe meine Ausbildung abgeschlossen.,,
die Ausfahrt,die,-en,noun,exit (highway) / driveway,বাহিরের রাস্তা,,,"Hier ist eine Ausfahrt, da dürfen Sie nicht parken.",,
die Ausgabe,die,-n,noun,expense / edition / issue,খরচ / সংস্করণ,,,Wie hoch sind Ihre Ausgaben in einem Monat?,,
die Aushilfe,die,-n,noun,temporary help / assistant,অস্থায়ী সহায়ক,,,Wir suchen eine freundliche Aushilfe für unser Geschäft.,,
die Auskunft,die,¨-e,noun,information / inquiry,তথ্য,,,Ich hätte gern eine Auskunft.,,
die Ausländerin,die,-nen,noun,foreigner (female),বিদেশী (মহিলা),,,Unsere neue Nachbarin ist Ausländerin.,,
die Ausnahme,die,-n,noun,exception,ব্যতিক্রম,,,"Normalerweise muss ich am Wochenende arbeiten, aber heute ist eine Ausnahme.",,
die Aussicht,die,-en,noun,view / prospect,দৃশ্য / সম্ভাবনা,,,Von diesem Turm hat man eine tolle Aussicht.,,
die Aussprache,die,,noun,pronunciation,উচ্চারণ,,,Ali hat eine gute Aussprache.,,
die Ausstellung,die,-en,noun,exhibition / issuance,প্রদর্শনী,,,Wir waren mit der Lehrerin in einer Ausstellung.,,
die Auswahl,die,-en,noun,selection / choice,নির্বাচন,,,Das Geschäft hat eine große Auswahl.,,
die Autobahn,die,-en,noun,highway / motorway,মহাসড়ক,,,Das Dorf liegt direkt an der Autobahn.,,
die Autorin,die,-nen,noun,author (female),লেখিকা (মহিলা),,,Die Autorin liest aus ihrem neuen Buch vor.,,
