Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
(sich) überzeugen,,,verb,,,,,,,
üben,,,,,,,,,,
über,,,,,,,,,,
über-,,,,,,,,,,
überall,,,,,,,,,,
überfahren,,,verb,,,,,,,
überhaupt,,,,,,,,,,
überholen,,,verb,,,,,,,
überlegen,,,verb,,,,,Brauchen Sie eine Tüte für den Salat?,,
übermorgen,,,,,,,,,,
übernachten,,,verb,,,,,,,
Übernachtung,die,-en,noun,,,,,,,
übernehmen,,,verb,,,,,,,
überprüfen,,,verb,,,,,,,
überqueren,,,verb,,,,,,,
überraschen,,,verb,,,,,,,
Überraschung,die,-en,noun,,,,,,,
überreden,,,verb,,,,,,,
Überschrift,die,-en,noun,,,,,,,
übersetzen,,,verb,,,,,,,
Übersetzer,der,-,noun,,,,,,,
Übersetzerin,die,-nen,noun,,,,,,,
Übersetzung,die,-en,noun,,,,,,,
Überstunde,die,-n,noun,,,,,,,
übertreiben,,,verb,,,,,,,
überweisen,,,verb,,,,,Wohnung so billig ist.,,
überzeugt,,,verb,,,,,,,
Überzeugung,die,-en,noun,,,,,,,
üblich,,,adj,,,,,,,
übrig,,,adj,,,,,,,
übrigens,,,,,,,,,,
Übung,die,-en,noun,,,,,,,
