Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Rabatt,der,-e,noun,discount,ছাড়,,,Auf dieses Produkt gibt es 20 Prozent Rabatt.,,
Rad,das,¨-er,noun,wheel / bicycle,চাকা / সাইকেল,,,Ich fahre jeden Tag mit dem Rad zur Arbeit.,,
Radfahrer,der,-,noun,cyclist (male),সাইকেল আরোহী (পুরুষ),,,Der Radfahrer fuhr ohne Helm.,,
Radfahrerin,die,-nen,noun,cyclist (female),সাইকেল আরোহী (মহিলা),,,Die Radfahrerin trug einen Helm.,,
Radio,das,-s,noun,radio,রেডিও,,,Ich höre jeden Morgen Radio.,,
Rahm,der,,noun,whipped cream (CH),হুইপড ক্রিম (সুইজারল্যান্ড),,,In der Schweiz bestelle ich Kaffee mit Rahm.,Schlagrahm,
Rand,der,¨-er,noun,edge / rim / margin,ধার / কিনারা,,,Bitte schreiben Sie nicht bis zum Rand.,,
Rasen,der,-,noun,lawn,লন / ঘাসের মাঠ,,,Der Rasen vor dem Haus ist sehr grün.,,
sich rasieren,,,verb,to shave,শেভ করা,rasiert,hat,Mein Bruder rasiert sich jeden Morgen.,,
raten,,,verb,to advise / to guess,উপদেশ দেওয়া / অনুমান করা,geraten,hat,"Kannst du mir raten, was ich tun soll?",,
Rat,der,,noun,advice / counsel,উপদেশ / পরামর্শ,,,Ich brauche deinen Rat.,,
Ratschlag,der,¨-e,noun,advice / tip,পরামর্শ / টিপস,,,Vielen Dank für deinen Ratschlag.,,
Rätsel,das,-,noun,puzzle / riddle,ধাঁধা / পাজল,,,Kannst du dieses Rätsel lösen?,,
Rathaus,das,¨-er,noun,town hall / city hall,টাউন হল / সিটি হল,,,Das Rathaus steht im Zentrum der Stadt.,,
rauchen,,,verb,to smoke,ধূমপান করা,geraucht,hat,Hier darf man nicht rauchen.,,
Raucher,der,-,noun,smoker (male),ধূমপায়ী (পুরুষ),,,In diesem Restaurant gibt es einen Bereich für Raucher.,,
Raucherin,die,-nen,noun,smoker (female),ধূমপায়ী (মহিলা),,,Meine Tante ist eine starke Raucherin.,,
Raum,der,¨-e,noun,room / space,ঘর / স্থান,,,In diesem Raum finden 50 Personen Platz.,,
rauf,,,particle,up / upwards (prefix),উপরে / ওপরে (উপসর্গ),,,"Komm rauf, wir sind im dritten Stock!",,
raus,,,particle,out / outside (prefix),বাইরে / বাহিরে (উপসর্গ),,,Geh raus und spiel im Garten!,,
reagieren,,,verb,to react,প্রতিক্রিয়া দেখানো / সাড়া দেওয়া,reagiert,hat,Wie hat er auf die Nachricht reagiert?,,
Reaktion,die,-en,noun,reaction,প্রতিক্রিয়া,,,Seine Reaktion hat mich überrascht.,,
realisieren,,,verb,to realize / implement,উপলব্ধি করা / বাস্তবায়ন করা,realisiert,hat,"Ich habe erst später realisiert, was passiert ist.",,
Realität,die,-en,noun,reality,বাস্তবতা,,,Die Realität sieht leider anders aus.,,
realistisch,,,adj,realistic,বাস্তবসম্মত,,,Sei realistisch! Das schaffst du nicht in einer Woche.,,
Recherche,die,-n,noun,research / investigation,গবেষণা / অনুসন্ধান,,,Für meinen Artikel habe ich gründliche Recherche betrieben.,,
rechnen,,,verb,to calculate / count on,গণনা করা / হিসাব করা,gerechnet,hat,Mit dir habe ich nicht gerechnet.,,
Rechner,der,-,noun,computer / calculator,কম্পিউটার / ক্যালকুলেটর,,,Mein Rechner ist abgestürzt.,,
Rechnung,die,-en,noun,bill / invoice / calculation,বিল / চালান / গণনা,,,Kann ich bitte die Rechnung haben?,,
Recht,das,-e,noun,right / law,অধিকার / আইন,,,Jeder Mensch hat das Recht auf Bildung.,,
rechtlich,,,adj,legal / legally,আইনগত / আইনি,,,Wir müssen die rechtlichen Fragen klären.,,
recht,,,adj,right / correct,সঠিক / ঠিক,,,"Du hast recht, das war meine Schuld.",,
rechts,,,adv,right / on the right,ডানে / ডান দিকে,,,Biegen Sie an der nächsten Kreuzung rechts ab.,,
recht-,,,adj,right-hand / right,ডান দিকের,,,Nimm den rechten Weg.,,
rechtzeitig,,,adv,in time / on time,সময়মতো / ঠিক সময়ে,,,Bitte komm rechtzeitig zum Termin.,,
reden,,,verb,to talk / speak,কথা বলা / বলা,geredet,hat,Wir haben lange über das Problem geredet.,,
Rede,die,-n,noun,speech / talk,বক্তৃতা / ভাষণ,,,Der Präsident hielt eine Rede.,,
reduzieren,,,verb,to reduce,কমানো / হ্রাস করা,reduziert,hat,Wir müssen die Kosten reduzieren.,,
Referat,das,-e,noun,presentation / report,উপস্থাপনা / প্রতিবেদন,,,Ich halte nächste Woche ein Referat über Klimawandel.,,
Reform,die,-en,noun,reform,সংস্কার,,,Die Regierung plant eine Steuerreform.,,
Regal,das,-e,noun,shelf / bookshelf,তাক / বুকশেলফ,,,Stell die Bücher ins Regal!,,
Regel,die,-n,noun,rule / regulation,নিয়ম / বিধি,,,In der Schule gibt es viele Regeln.,,
regelmäßig,,,adj,regular / regularly,নিয়মিত,,,Ich gehe regelmäßig zum Sport.,,
regeln,,,verb,to regulate / control / settle,নিয়ন্ত্রণ করা / ব্যবস্থা করা,geregelt,hat,Kannst du das Problem regeln?,,
regnen,,,verb,to rain,বৃষ্টি পড়া,geregnet,hat,Es regnet schon den ganzen Tag.,,
Regen,der,,noun,rain,বৃষ্টি,,,Bei Regen bleibt die Straße nass.,,
Region,die,-en,noun,region,অঞ্চল,,,Diese Region ist bekannt für ihren Wein.,,
regional,,,adj,regional,আঞ্চলিক,,,Wir kaufen am liebsten regionale Produkte.,,
reich,,,adj,rich / wealthy,ধনী / ধনবান,,,Er ist durch seine Arbeit reich geworden.,,
reichen,,,verb,to be enough / reach / pass,যথেষ্ট হওয়া / পৌঁছানো / পাস করা,gereicht,hat,Reicht das Geld für den Einkauf?,,
reif,,,adj,ripe / mature,পাকা / পরিণত,,,Die Äpfel sind noch nicht reif.,,
