Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Deutschland,das,,noun,Germany,জার্মানি,,,,,
der Deutsche,der,-n,noun,the German (male person),জার্মান (পুরুষ),,,,,
die Deutsche,die,-n,noun,the German (female person),জার্মান (মহিলা),,,,,
deutsch,,,adj,German,জার্মান,,,,,,
Deutsch,das,,noun,German (language),জার্মান (ভাষা),,,,,
Österreich,das,,noun,Austria,অস্ট্রিয়া,,,,,
der Österreicher,der,-,noun,the Austrian (male person),অস্ট্রিয়ান (পুরুষ),,,,,
die Österreicherin,die,-nen,noun,the Austrian (female person),অস্ট্রিয়ান (মহিলা),,,,,
österreichisch,,,adj,Austrian,অস্ট্রীয়,,,,,,
die Schweiz,die,,noun,Switzerland,সুইজারল্যান্ড,,,,,
der Schweizer,der,-,noun,the Swiss (male person),সুইস (পুরুষ),,,,,
die Schweizerin,die,-nen,noun,the Swiss (female person),সুইস (মহিলা),,,,,
schweizerisch,,,adj,Swiss,সুইস,,,,,,
Schweizer,,,noun,Swiss (person),সুইস (ব্যক্তি),,,,,,
Europa,das,,noun,Europe,ইউরোপ,,,,,
der Europäer,der,-,noun,the European (male person),ইউরোপীয় (পুরুষ),,,,,
die Europäerin,die,-nen,noun,the European (female person),ইউরোপীয় (মহিলা),,,,,
europäisch,,,adj,European,ইউরোপীয়,,,,,,
Griechenland,das,,noun,Greece,গ্রীস,,,,,
der Grieche,der,-n,noun,the Greek (male person),গ্রীক (পুরুষ),,,,,
die Griechin,die,-nen,noun,the Greek (female person),গ্রীক (মহিলা),,,,,
griechisch,,,adj,Greek,গ্রিক,,,,,,
Griechisch,das,,noun,Greek (language),গ্রীক (ভাষা),,,,,
die Türkei,die,,noun,Turkey,তুরস্ক,,,,,
der Türke,der,-n,noun,the Turk (male person),তুর্কি (পুরুষ),,,,,
die Türkin,die,-nen,noun,the Turk (female person),তুর্কি (মহিলা),,,,,
türkisch,,,adj,Turkish,তুর্কি,,,,,,
Türkisch,das,,noun,Turkish (language),তুর্কি (ভাষা),,,,,
die Ukraine,die,,noun,Ukraine,ইউক্রেন,,,,,
der Ukrainer,der,-,noun,the Ukrainian (male person),ইউক্রেনীয় (পুরুষ),,,,,
die Ukrainerin,die,-nen,noun,the Ukrainian (female person),ইউক্রেনীয় (মহিলা),,,,,
ukrainisch,,,adj,Ukrainian,ইউক্রেনীয়,,,,,,
Ukrainisch,das,,noun,Ukrainian (language),ইউক্রেনীয় (ভাষা),,,,,
