Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Aufgabe,die,-n,noun,task/exercise,কাজ/অনুশীলন,,,Für jede Aufgabe gibt es nur eine richtige Lösung.,,
ankreuzen,,,verb,to tick / check off,টিক চিহ্ন দেওয়া,,hat angekreuzt,hat,Kreuzen Sie bitte auf dem Antwortbogen an.,,
Antwortbogen,der,-/-“- ,noun,answer sheet,উত্তরপত্র,,,Bitte übertragen Sie Ihre Lösungen auf den Antwortbogen.,,
Anzeige,die,-n,noun,advertisement/ad,বিজ্ঞাপন,,,Lesen Sie die Anzeigen.,,
Aussage,die,-n,noun,statement,বিবৃতি,,,Sind die Aussagen richtig oder falsch?,,
Durchsage,die,-n,noun,announcement (over loudspeaker),ঘোষণা (লাউডস্পিকারে),,,Sie hören eine Durchsage im Radio.,,
Einleitung,die,-en,noun,introduction,ভূমিকা,,,Schreiben Sie eine passende Einleitung und einen Schluss.,,
Folie,die,-n,noun,slide/transparency,স্লাইড,,,Dazu finden Sie hier fünf Folien.,,
Hilfsmittel,das,-,noun,aid/tool,সাহায্যকারী উপকরণ,,,Hilfsmittel wie Mobiltelefone oder Wörterbücher sind nicht erlaubt.,,
Kommentar,der,-e,noun,comment,মন্তব্য,,,Sie lesen Kommentare zu einem Artikel.,,
lösen,,,verb,to solve,সমাধান করা,,hat gelöst,hat,Dazu lösen Sie acht Aufgaben.,,
Lösung,die,-en,noun,solution,সমাধান,,,Wählen Sie bei jeder Aufgabe die richtige Lösung.,,
Moderator,der,-en/die Moderatorin -nen,noun,moderator/presenter,উপস্থাপক,,,Die Moderatorin der Radiosendung diskutiert mit zwei Gästen.,,
Modul,das,-e,noun,module,মডিউল,,,Das Modul Hören besteht aus vier Teilen.,,
Präsentation,die,-en,noun,presentation,উপস্থাপনা,,,Erklären Sie den Inhalt und die Struktur Ihrer Präsentation.,,
Punkt,der,-e,noun,point,বিন্দু/পয়েন্ট,,,Schreiben Sie etwas zu allen drei Punkten.,,
Rückmeldung,die,-en,noun,feedback,প্রতিক্রিয়া/ফিডব্যাক,,,Reagieren Sie auf die Rückmeldung.,,
Struktur,die,-en,noun,structure,গঠন/কাঠামো,,,Erklären Sie den Inhalt und die Struktur Ihrer Präsentation.,,
Textaufbau,der,,noun,text structure,লেখার গঠন,,,Achten Sie auf den Textaufbau.,,
übertragen,,,verb,to transfer,স্থানান্তর করা,,hat übertragen,hat,"Vergessen Sie bitte nicht, Ihre Lösungen auf den Antwortbogen zu übertragen.",,
zuordnen,,,verb,to assign / match,মিল করা / নির্ধারণ করা,,hat zugeordnet,hat,Ordnen Sie die Aussagen zu.,,
