Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
eins,,,numeral,one,এক,,,,,1,
zwei,,,numeral,two,দুই,,,,,2,
drei,,,numeral,three,তিন,,,,,3,
vier,,,numeral,four,চার,,,,,4,
fünf,,,numeral,five,পাঁচ,,,,,5,
sechs,,,numeral,six,ছয়,,,,,6,
sieben,,,numeral,seven,সাত,,,,,7,
acht,,,numeral,eight,আট,,,,,8,
neun,,,numeral,nine,নয়,,,,,9,
zehn,,,numeral,ten,দশ,,,,,10,
elf,,,numeral,eleven,এগারো,,,,,11,
zwölf,,,numeral,twelve,বারো,,,,,12,
dreizehn,,,numeral,thirteen,তেরো,,,,,13,
vierzehn,,,numeral,fourteen,চৌদ্দ,,,,,14,
fünfzehn,,,numeral,fifteen,পনেরো,,,,,15,
sechzehn,,,numeral,sixteen,ষোল,,,,,16,
siebzehn,,,numeral,seventeen,সতেরো,,,,,17,
achtzehn,,,numeral,eighteen,আঠারো,,,,,18,
neunzehn,,,numeral,nineteen,উনিশ,,,,,19,
zwanzig,,,numeral,twenty,বিশ,,,,,20,
einundzwanzig,,,numeral,twenty-one,একুশ,,,,,21,
dreißig,,,numeral,thirty,ত্রিশ,,,,,30,
hundert,,,numeral,one hundred,একশো,,,,,100,
tausend,,,numeral,one thousand,এক হাজার,,,,,1000,
eine Million,,,numeral,one million,এক মিলিয়ন,,,,,1000000,
eine Milliarde,,,numeral,one billion,এক বিলিয়ন,,,,,1000000000,
erste,,,numeral,first,প্রথম,,,,,1.,
zweite,,,numeral,second,দ্বিতীয়,,,,,2.,
dritte,,,numeral,third,তৃতীয়,,,,,3.,
vierte,,,numeral,fourth,চতুর্থ,,,,,4.,
erstens,,,adverb,firstly,প্রথমত,,,,,,
zweitens,,,adverb,secondly,দ্বিতীয়ত,,,,,,
drittens,,,adverb,thirdly,তৃতীয়ত,,,,,,
einmal,,,adverb,once,একবার,,,,,,
zweimal,,,adverb,twice,দুইবার,,,,,,
dreimal,,,adverb,three times,তিনবার,,,,,,
einfach,,,adj,simple / single,সহজ / একক,,,,,einfach,
zweifach/doppelt,,,adj,double / twofold,দ্বিগুণ,,,,,"zweifach, doppelt",
