Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Krippe,die,-n,noun,day nursery/crèche,শিশুদের ডে-কেয়ার,,,,,
Kindergarten,der,-“- ,noun,kindergarten,কিন্ডারগার্টেন,,,,,
Kindertagesstätte,die,-n,noun,daycare center,ডে-কেয়ার সেন্টার,,,,Kita,
Grundschule,die,-n,noun,primary/elementary school,প্রাথমিক বিদ্যালয়,,,,,
Mittelschule,die,-n,noun,secondary school,মাধ্যমিক বিদ্যালয়,,,,,
Realschule,die,-n,noun,secondary modern school,মাধ্যমিক বিদ্যালয় (রিয়েলশুলে),,,,,
Gesamtschule,die,-n,noun,comprehensive school,সম্মিলিত বিদ্যালয়,,,,,
Berufsschule,die,-n,noun,vocational school,ভোকেশনাল স্কুল,,,,,
Sonderschule,die,-n,noun,special needs school,বিশেষ চাহিদাসম্পন্ন স্কুল,,,,,
Gymnasium,das,Gymnasien,noun,grammar school/high school,জিমনাজিয়াম/উচ্চ বিদ্যালয়,,,,,
(Fach-)Hochschule,die,-n,noun,university of applied sciences,ফলিত বিজ্ঞান বিশ্ববিদ্যালয়,,,,,
Universität,die,-en,noun,university,বিশ্ববিদ্যালয়,,,,Uni,
Volkshochschule,die,-n,noun,adult education center,প্রাপ্তবয়স্ক শিক্ষা কেন্দ্র,,,,,
Volksschule,die,-n,noun,primary school (Austria),প্রাথমিক বিদ্যালয় (অস্ট্রিয়া),,,,,
Hauptschule,die,-n,noun,general secondary school (Austria),সাধারণ মাধ্যমিক বিদ্যালয় (অস্ট্রিয়া),,,,,
Neue Mittelschule,die,-n,noun,new middle school (Austria),নতুন মাধ্যমিক বিদ্যালয় (অস্ট্রিয়া),,,,,
Allgemeinbildende Höhere Schule,die,-n,noun,general higher school (Austria),সাধারণ উচ্চ বিদ্যালয় (অস্ট্রিয়া),,,,AHS,
Berufsbildende Höhere Schule,die,-n,noun,vocational higher school (Austria),ভোকেশনাল উচ্চ বিদ্যালয় (অস্ট্রিয়া),,,,BHS,
Akademie,die,-n,noun,academy,একাডেমি,,,,,
Pädagogische Hochschule,die,-n,noun,university of education,শিক্ষাবিজ্ঞান কলেজ,,,,,
Spielgruppe,die,-n,noun,playgroup (Switzerland),প্লেগ্রুপ (সুইজারল্যান্ড),,,,,
Primarschule,die,-n,noun,primary school (Switzerland),প্রাথমিক বিদ্যালয় (সুইজারল্যান্ড),,,,,
Sekundarschule,die,-n,noun,secondary school (Switzerland),মাধ্যমিক বিদ্যালয় (সুইজারল্যান্ড),,,,,
Bezirksschule,die,-n,noun,district school (Switzerland),জেলা বিদ্যালয় (সুইজারল্যান্ড),,,,,
Orientierungsstufe,die,-n,noun,orientation level (Switzerland),অরিয়েন্টেশন স্তর (সুইজারল্যান্ড),,,,,
Mittelschule,die,-n,noun,middle school (Switzerland),মধ্য বিদ্যালয় (সুইজারল্যান্ড),,,,,
Berufsmittelschule,die,-n,noun,vocational middle school (Switzerland),ভোকেশনাল মাধ্যমিক বিদ্যালয় (সুইজারল্যান্ড),,,,,
Diplommittelschule,die,-n,noun,diploma middle school (Switzerland),ডিপ্লোমা মাধ্যমিক স্কুল (সুইজারল্যান্ড),,,,,
