Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
(sich) anziehen,,,verb,,,,,,,
(sich) ausruhen,,,verb,,,,,,,
(sich) duschen,,,verb,,,,,,,
(sich) fürchten,,,verb,,,,,,,
(sich) rasieren,,,verb,,,,,,,
(sich) schneiden,,,verb,,,,,,,
(sich) setzen,,,verb,,,,,,,
(sich) siezen,,,verb,,,,,,,
(sich) stoßen,,,verb,,,,,,,
(sich) streiten,,,verb,,,,,,,
(sich) trennen,,,verb,,,,,,,
(sich) umdrehen,,,verb,,,,,,,
(sich) unterhalten,,,verb,,,,,,,
(sich) verabreden,,,verb,,,,,,,
(sich) verabschieden,,,verb,,,,,,,
(sich) verbessern,,,verb,,,,,,,
(sich) verbrennen,,,verb,,,,,,,
(sich) verletzen,,,verb,,,,,,,
(sich) verstecken,,,verb,,,,,,,
(sich) verstehen,,,verb,,,,,,,
(sich) verändern,,,verb,,,,,,,
(sich) vorbereiten,,,verb,,,,,,,
(sich) vorstellen,,,verb,,,,,,,
(sich) waschen,,,verb,,,,,,,
(sich) wünschen,,,verb,,,,,,,
(sich) zwingen,,,verb,,,,,,,
(sich) ärgern,,,verb,,,,,,,
(sich) überzeugen,,,verb,,,,,,,
ab,,,preposition,from / as of,হতে / থেকে,,,Die Fahrt kostet ab Hamburg 200 Euro.,,
abbiegen,,,verb,to turn,মোড় নেওয়া,abgebogen,ist,An der nächsten Kreuzung müssen Sie links abbiegen.,,
Abbildung,die,-en,noun,illustration / picture,চিত্র / ছবি,,,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",,
Abenteuer,das,-,noun,adventure,অভিযান,,,Unser Urlaub war ein tolles Abenteuer.,,
aber,,,conjunction,however / but,কিন্তু,,,"Heute kann ich nicht, aber morgen ganz bestimmt.",,
abfahren,,,verb,,,,,Unser Zug ist pünktlich abgefahren.,,
Abfahrt,die,-en,noun,departure,ছেড়ে যাওয়া,,,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,,
Abfall,der,¨-e,noun,waste / garbage,আবর্জনা,,,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,,
Abfalleimer,der,-,noun,trash can,আবর্জনার পাত্র,,,Wirf das bitte in den Abfalleimer!,,
Abgase,,,noun,exhaust fumes,নিষ্কাশিত গ্যাস,,,Abgase aus Industrie und Haushalten verschmutzen die Luft.,die Abgase (Pl.),
abgeben,,,verb,to hand in / deliver,জমা দেওয়া,abgegeben,hat,Ich soll dieses Päckchen bei Herrn Müller abgeben.,,
abheben,,,verb,to withdraw (money),তুলে নেওয়া,abgehoben,hat,Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,,
abholen,,,verb,to pick up,নিতে আসা,abgeholt,hat,Meine Freundin hat mich vom Bahnhof abgeholt.,,
