Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Tabelle,die,-n,noun,table / chart,টেবিল / তালিকা,,,Tragen Sie die richtige Information in die Tabelle ein.,,
Tablette,die,-n,noun,tablet / pill,ট্যাবলেট / ওষুধের বিড়া,,,Nehmen Sie dreimal taeglich eine Tablette.,,
Tafel,die,-n,noun,board / blackboard / bar (chocolate),বোর্ড / চকোলেটের বার,,,Der Lehrer schreibt das neue Wort an die Tafel.,,
Tagesablauf,der,¨-e,noun,daily routine,দৈনন্দিন রুটিন,,,Wie ist Ihr Tagesablauf?,,
Tal,das,¨-er,noun,valley,উপত্যকা,,,Unser Dorf liegt in einem Tal.,,
Talent,das,-e,noun,talent / gift,প্রতিভা,,,Sie hat grosses Talent fuer Musik.,,
tanken,,,verb,to refuel / fill up (with petrol),তেল ভরা / পেট্রোল ভরা,getankt,hat,Wir muessen unbedingt tanken. Wir haben fast kein Benzin mehr.,,
Tankstelle,die,-n,noun,gas station / petrol station,পেট্রোল পাম্প / ফিলিং স্টেশন,,,Wo ist die naechste Tankstelle?,,
Tante,die,-n,noun,aunt,খালা / ফুফু / চাচী / মামী,,,"Die Familie meiner Mutter ist sehr gross, daher habe ich viele Tanten.",,
tanzen,,,verb,to dance,নাচা,getanzt,hat,Auf der Hochzeit haben wir viel getanzt.,,
Tanz,der,¨-e,noun,dance,নাচ,,,Diese modernen Taenze kann ich nicht.,,
Tasche,die,-n,noun,bag / pocket,ব্যাগ / পকেট,,,"Ich habe nicht viel Gepaeck, nur eine Tasche.",,
Taschengeld,das,-er,noun,pocket money / allowance,হাতখরচ / পকেটমানি,,,Wie viel Taschengeld bekommst du im Monat?,,
Taschentuch,das,¨-er,noun,tissue / handkerchief,টিস্যু / রুমাল,,,Hast du ein Taschentuch fuer mich?,,
Tasse,die,-n,noun,cup,কাপ,,,Moechten Sie eine Tasse Kaffee?,,
Tastatur,die,-en,noun,keyboard,কিবোর্ড,,,Die Tastatur an meinem Computer ist ganz neu.,,
Taste,die,-n,noun,key / button,কি / বোতাম,,,An der Fernbedienung ist eine Taste kaputt.,,
Tat,die,-en,noun,deed / act,কাজ / কৃতিত্ব,,,Dieser Mensch hat mit vielen guten Taten geholfen.,,
Taeter,der,-,noun,perpetrator / offender (male),অপরাধী (পুরুষ),,,Die Polizei hat den Taeter endlich gefasst.,,
Taeterin,die,-nen,noun,perpetrator / offender (female),অপরাধী (মহিলা),,,Die Polizei hat die Taeterin endlich gefasst.,,
Taetigkeit,die,-en,noun,activity / occupation / job,কাজ / কর্মকাণ্ড / পেশা,,,Welche Taetigkeit wuerde Ihnen Spass machen?,,
Tatsache,die,-n,noun,fact,তথ্য / সত্য,,,Das widerspricht den Tatsachen.,,
tatsaechlich,,,adj,actual / actually / indeed,আসলে / প্রকৃতপক্ষে / সত্যিই,,,"Die Hose ist tatsaechlich zu klein, obwohl sie so gross aussieht.",,
taub,,,adj,deaf / numb,বধির / অসাড়,,,"Sie hoert schlecht, sie ist schon fast taub.",,
tauchen,,,verb,to dive,ডুব দেওয়া / ডাইভ করা,getaucht,ist/hat,Ich moechte im Urlaub wieder tauchen gehen.,,
tauschen,,,verb,to exchange / swap / trade,বিনিময় করা / অদলবদল করা,getauscht,hat,Ich wuerde meinen Kuchen gegen dein Brot tauschen.,,
Technik,die,-en,noun,technology / technique,প্রযুক্তি / কৌশল / টেকনিক,,,Ich verstehe nicht viel von Technik.,,
technisch,,,adj,technical,প্রযুক্তিগত,,,Es gab ein technisches Problem.,,
Technologie,die,-n,noun,technology,প্রযুক্তি / টেকনোলজি,,,Grosse Fortschritte gab es in der Technologie.,,
Tee,der,,noun,tea,চা,,,Bitte einen Tee mit Zitrone.,,
teilen,,,verb,to share / divide,ভাগ করা / ভাগাভাগি করা,geteilt,hat,Mein Mann und ich teilen uns die Arbeit.,,
Teil,das,-e,noun,part / component / piece,অংশ / টুকরো / যন্ত্রাংশ,,,Dieses Teil muessen wir erst bestellen.,,
Teil,der,-e,noun,part / portion / share,অংশ / ভাগ,,,Der Film hat zwei Teile. Heute kommt Teil 1.,,
Teilzeit,die,,noun,part-time (work),পার্ট-টাইম / খণ্ডকালীন,,,Ich arbeite im Moment nur Teilzeit.,,
teilnehmen,,,verb,to participate / take part,অংশগ্রহণ করা,teilgenommen,hat,Leider konnte ich an dem Kurs nicht regelmaessig teilnehmen.,,
Teilnahme,die,-n,noun,participation,অংশগ্রহণ,,,Die Teilnahme am Gewinnspiel ist kostenlos.,,
Teilnehmer,der,-,noun,participant (male),অংশগ্রহণকারী (পুরুষ),,,Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Laendern.,,
Teilnehmerin,die,-nen,noun,participant (female),অংশগ্রহণকারী (মহিলা),,,Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Laendern.,,
telefonieren,,,verb,to telephone / call / phone,ফোন করা / টেলিফোন করা,telefoniert,hat,Ich muss kurz telefonieren.,,
Telefon,das,-e,noun,telephone / phone,টেলিফোন / ফোন,,,Darf ich bitte Ihr Telefon benutzen?,,
Teller,der,-,noun,plate,প্লেট / থালা,,,Stell bitte schon mal die Teller auf den Tisch!,,
Temperatur,die,-en,noun,temperature,তাপমাত্রা,,,Die Temperaturen steigen heute um 10 Grad.,,
Tempo,das,,noun,speed / pace / tempo,গতি / টেম্পো,,,Hier darfst du nur Tempo 30 fahren.,,
Tennis,das,,noun,tennis,টেনিস,,,Ich spiele gern Tennis.,,
Teppich,der,-e,noun,carpet / rug,কার্পেট / গালিচা,,,Ich habe mir einen neuen Teppich gekauft.,,
Termin,der,-e,noun,appointment / date / deadline,অ্যাপয়েন্টমেন্ট / নির্ধারিত সময়,,,Als Termin schlage ich den 3. Mai vor.,,
