Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
paar,,,pronoun,a few/couple of,কয়েকটি,,,Ich habe ein paar Freunde eingeladen.,,
Paar,das,-e,noun,pair/couple,জোড়া/দম্পতি,,,Das Paar hat gestern geheiratet.,,
packen,,,verb,to pack,প্যাক করা/বাঁধাই করা,gepackt,hat,Ich muss meinen Koffer packen.,,
Paket,das,-e,noun,package/parcel,পার্সেল/প্যাকেজ,,,Der Postbote hat ein Paket gebracht.,,
Panne,die,-n,noun,breakdown,ব্রেকডাউন/যান্ত্রিক ত্রুটি,,,Unser Auto hatte auf der Autobahn eine Panne.,,
Papier,das,-e,noun,paper,কাগজ,,,Hast du ein Blatt Papier für mich?,,
Paradeiser,der,-,noun,tomato (A),টমেটো,,,In Österreich sagt man Paradeiser statt Tomate.,,
parallel,,,adj,parallel,সমান্তরাল,,,Die beiden Strassen verlaufen parallel.,,
Parfüm,das,-s,noun,perfume,সুগন্ধি/পারফিউম,,,Sie trägt ein teures Parfüm.,,
Park,der,-s,noun,park,পার্ক/উদ্যান,,,Wir gehen im Park spazieren.,,
parken,,,verb,to park (D/A),পার্ক করা/রাখা,geparkt,hat,Wo kann ich hier parken?,,
parkieren,,,verb,to park (CH),পার্ক করা (সুইস),parkiert,hat,In der Schweiz sagt man parkieren.,,
Partner/Partnerin,der/die,-,noun,partner,অংশীদার/সঙ্গী,,,Mein Partner arbeitet im selben Büro.,,
Party,die,-s,noun,party,পার্টি/উৎসব,,,Wir feiern heute eine Party.,,
Pass,der,¨-e,noun,passport,পাসপোর্ট,,,Ich muss meinen Pass verlängern.,,
Passagier/Passagierin,der/die,-,noun,passenger,যাত্রী,,,Der Passagier hat seinen Flug verpasst.,,
passen,,,verb,to fit/suit,মানানসই হওয়া/উপযুক্ত হওয়া,gepasst,hat,Die Jacke passt mir sehr gut.,,
passieren,,,verb,to happen,ঘটা/সংঘটিত হওয়া,passiert,ist,Was ist denn hier passiert?,,
passiv,,,adj,passive,প্যাসিভ/নিষ্ক্রিয়,,,Er blieb während der Diskussion passiv.,,
Patient/Patientin,der/die,-,noun,patient,রোগী/পেশেন্ট,,,Der Patient wartet auf den Arzt.,,
pauschal,,,adj,all-inclusive/flat-rate,প্যাকেজ মূল্যের/ফ্ল্যাট-রেট,,,Wir haben eine pauschale Reise gebucht.,,
