Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
blau,,,adj,blue,নীল,,,,,"hellblau, dunkelblau",
braun,,,adj,brown,বাদামি,,,,,"hellbraun, dunkelbraun",
gelb,,,adj,yellow,হলুদ,,,,,"hellgelb, dunkelgelb",
grau,,,adj,gray,ধূসর,,,,,"hellgrau, dunkelgrau",
grün,,,adj,green,সবুজ,,,,,"hellgrün, dunkelgrün",
lila,,,adj,purple,বেগুনি,,,,,,
orange,,,adj,orange,কমলা,,,,,,
rosa,,,adj,pink,গোলাপি,,,,,,
rot,,,adj,red,লাল,,,,,"hellrot, dunkelrot",
schwarz,,,adj,black,কালো,,,,,,
violett,,,adj,violet,ভায়োলেট,,,,,,
weiß,,,adj,white,সাদা,,,,,,
hell-,,,prefix,light-,হালকা-,,,,,,
dunkel-,,,prefix,dark-,গাঢ়-,,,,,,
