Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Baby,das,-s,noun,baby,শিশু,,,,,
Babysitter,der,-/die Babysitterin -nen,noun,babysitter,বেবিসিটার,,,,,
Band,die,-s,noun,band (music),ব্যান্ড (সঙ্গীত),,,,,
Bar,die,-s,noun,bar,বার,,,,\n,
Bikini,der,-s,noun,bikini,বিকিনি,,,,,
Blog,der,-s,noun,blog,ব্লগ,,,,,
bloggen,,,verb,to blog,ব্লগ করা,,hat gebloggt,hat,,,
Camp,das,-s,noun,camp,ক্যাম্প,,,,,
campen,,,verb,to camp,ক্যাম্প করা,,hat gecampt,hat,,,
Castingshow,die,-s,noun,casting show,কাস্টিং শো,,,,,
CD-Player,der,-,noun,CD player,সিডি প্লেয়ার,,,,,
Chat(room),der,-s,noun,chat room,চ্যাট রুম,,,,,
chatten,,,verb,to chat,চ্যাট করা,,hat gechattet,hat,,,
checken,,,verb,to check,চেক করা,,hat gecheckt,hat,,,
Chip,der,-s,noun,chip,চিপ,,,,,
City,die,-s,noun,city (downtown),শহর (ডাউনটাউন),,,,,
Club,der,-s,noun,club,ক্লাব,,,,,
Cola,die/das,-s,noun,cola,কোলা,,,,,
Comic,der/das,-s,noun,comic,কমিক্স,,,,,
Computer,der,-,noun,computer,কম্পিউটার,,,,,
cool,,,adj,cool,দুর্দান্ত,,,,,,
E-Bike,das,-s,noun,e-bike,ই-বাইক,,,,,
E-Book,das,-s,noun,e-book,ই-বুক,,,,,
Fan,der,-s,noun,fan,ভক্ত/অনুরাগী,,,,,
Fax,das,-e,noun,fax,ফ্যাক্স,,,,,
faxen,,,verb,to fax,ফ্যাক্স করা,,hat gefaxt,hat,,,
Festival,das,-s,noun,festival,উৎসব,,,,,
fit,,,adj,fit,ফিট / সুস্থ,,,,,,
Fitness,die,,noun,fitness,ফিটনেস,,,,,
global,,,adj,global,বৈশ্বিক,,,,,,
googeln,,,verb,to google,গুগল করা,,hat gegoogelt,hat,,,
Hamburger,der,-,noun,hamburger,হ্যামবার্গার,,,,,
Hit,der,-s,noun,hit,হিট,,,,,
Homepage,die,-s,noun,homepage,হোমপেজ,,,,,
Internet,das,,noun,internet,ইন্টারনেট,,,,,
Jazz,der,,noun,jazz,জ্যাজ,,,,,
Job,der,-s,noun,job,চাকরি,,,,,
jobben,,,verb,to work a side job,খণ্ডকালীন কাজ করা,,hat gejobbt,hat,,,
joggen,,,verb,to jog,জগিং করা,,ist/hat gejoggt,ist/hat,,,
Ketchup/Ketschup,der/das,-s,noun,ketchup,কেচাপ,,,,,
Killer,der,-/die Killerin -nen,noun,killer,খুনি,,,,,
Laptop,der,-s,noun,laptop,ল্যাপটপ,,,,,
Link,der,-s,noun,link,লিংক,,,,,
live,,,adj,live,সরাসরি / লাইভ,,,,,,
(E-)Mail,die/das,-s,noun,email,ইমেইল,,,,,
Mailbox,die,-en,noun,mailbox,মেইলবক্স,,,,,
mailen,,,verb,to email,ইমেইল করা,,hat gemailt,hat,,,
Manager,der,-/die Managerin -nen,noun,manager,ম্যানেজার,,,,,
Mobilbox,die,-en,noun,mobile mailbox,মোবাইল মেইলবক্স,,,,,
Mountainbike,das,-s,noun,mountain bike,মাউন্টেন বাইক,,,,,
o.k./O.K./okay,,,adj,okay,ঠিক আছে,,,,,,
online,,,adj,online,অনলাইন,,,,,,
Plattform,die,-en,noun,platform,প্ল্যাটফর্ম,,,,,
Poster,das,-,noun,poster,পোস্টার,,,,,
Puzzle,das,-s,noun,puzzle,পাজল,,,,,
Sandwich,das/der,-(e)s/-e,noun,sandwich,স্যান্ডউইচ,,,,,
Show,die,-s,noun,show,শো,,,,,
Smartphone,das,-s,noun,smartphone,স্মার্টফোন,,,,,
Snack,der,-s,noun,snack,স্ন্যাকস,,,,,
Software,die,-s,noun,software,সফটওয়্যার,,,,,
Song,der,-s,noun,song,গান,,,,,
Spot,der,-s,noun,spot,স্পট,,,,,
Steak,das,-s,noun,steak,স্টেক,,,,,
surfen,,,verb,to surf,সার্ফ করা,,ist/hat gesurft,ist/hat,,,
Swimmingpool,der,-s,noun,swimming pool,সুইমিং পুল,,,,,
Taxi,das,-s,noun,taxi,ট্যাক্সি,,,,,
Team,das,-s,noun,team,টিম/দল,,,,,
Terminal,der,-s,noun,terminal,টার্মিনাল,,,,,
Tour,die,-en,noun,tour,ট্যুর/ভ্রমণ,,,,,
Trend,der,-s,noun,trend,ট্রেন্ড/প্রবণতা,,,,,
T-Shirt,das,-s,noun,t-shirt,টি-শার্ট,,,,,
twittern,,,verb,to tweet,টুইট করা,,hat getwittert,hat,,,
User,der,-/die Userin -nen,noun,user,ব্যবহারকারী,,,,,
