Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Kabel,das,-,noun,cable,কেবল / তার,,,Wo ist das Kabel für das Aufnahmegerät?,,
Kabine,die,-n,noun,cabin / booth / changing room,কেবিন / বুথ,,,"Um zu wählen, gehen Sie bitte in diese Kabine.",,
Kaffee,der,,noun,coffee,কফি,,,Bring bitte noch eine Packung Kaffee mit.,,
Kaffeehaus,das,¨-er,noun,coffee house (Austria),কফি হাউস (অস্ট্রিয়া),,,Hier in der Nähe ist ein Kaffeehaus. Lass uns einen Kaffee trinken.,,
Kakao,der,-s,noun,cocoa / hot chocolate,কোকো / হট চকলেট,,,Zum Frühstück trinke ich immer einen Kakao.,,
Kalender,der,-,noun,calendar,ক্যালেন্ডার,,,Ich habe den Termin in meinem Kalender notiert.,,
kalt,,,adj,cold,ঠান্ডা,,,Es ist kalt heute.,,
Kälte,die,,noun,cold / coldness,ঠান্ডা / শীতলতা,,,Bei dieser Kälte fahre ich nicht mit dem Fahrrad.,,
Kamera,die,-s,noun,camera,ক্যামেরা,,,Ich habe eine ganz neue Kamera.,,
kämpfen,,,verb,to fight / struggle,লড়াই করা / সংগ্রাম করা,gekämpft,hat,Die Frauen kämpfen für mehr Rechte.,,
Kampf,der,¨-e,noun,fight / struggle / battle,লড়াই / সংগ্রাম,,,Im Schulbus gibt es immer einen Kampf um die Sitzplätze.,,
Kanal,der,¨-e,noun,canal / channel,খাল / চ্যানেল,,,Mit Kabel bekommen Sie über 30 Fernsehkanäle.,,
Kandidat,der,-en,noun,candidate,প্রার্থী / প্রার্থী,,,Wie viele Kandidaten kommen zur Prüfung?,,
Kanne,die,-n,noun,pot / jug / pitcher,পাত্র / কেটলি,,,Das ist aber eine schöne Teekanne.,,
Kantine,die,-n,noun,canteen / cafeteria,ক্যান্টিন,,,In unserer Kantine kann man günstig essen.,,
Kapitel,das,-,noun,chapter,অধ্যায়,,,"Die Lehrerin hat gesagt, wir sollen zwei Kapitel im Buch wiederholen.",,
kaputt,,,adj,broken / exhausted,ভাঙা / ক্লান্ত,,,Unsere Waschmaschine ist kaputt.,,
kaputtgehen,,,verb,to break / get broken,ভেঙে যাওয়া,kaputtgegangen,ist,Pass bitte mit diesem Glas auf. Es geht leicht kaputt.,,
kaputtmachen,,,verb,to break / destroy,ভেঙে ফেলা / নষ্ট করা,kaputtgemacht,hat,Wer hat die Lampe kaputtgemacht?,,
Karneval,der,-s/-e,noun,carnival (Germany),কার্নিভাল (জার্মানি),,,Dort hängt mein Kostüm für den Karnevals(um)zug.,"D: Karneval, D/A: Fasching, CH: Fasnacht",
Karotte,die,-n,noun,carrot,গাজর,,,Hasen fressen gern Karotten.,"Karotte, D: Möhre, CH: Rüebli",
Karriere,die,-n,noun,career,ক্যারিয়ার,,,Mein Bruder hat große Pläne. Er will Karriere machen.,,
Karte,die,-n,noun,card / ticket / map,কার্ড / টিকিট / মানচিত্র,,,Schreibst du mir eine Karte aus dem Urlaub?,,
Chipkarte,die,-n,noun,chip card,চিপ কার্ড,,,Ich habe eine Chipkarte für diesen Automaten.,,
Fahrkarte,die,-n,noun,ticket (for travel),টিকিট (ভ্রমণের),,,Fahrkarten können Sie am Schalter kaufen.,"D: Fahrkarte, CH: Billett",
Kartoffel,die,-n,noun,potato,আলু,,,Kann ich bitte noch Kartoffeln bekommen?,"D: Kartoffel, A: Erdapfel",
Käse,der,,noun,cheese,পনির / চিজ,,,Möchtest du Käse aufs Brot?,,
Kasse,die,-n,noun,cash desk / checkout / till,ক্যাশ ডেস্ক / কাউন্টার,,,Zahlen Sie bitte an der Kasse.,,
Kassette,die,-n,noun,cassette,ক্যাসেট,,,Meine Eltern besitzen noch viele Musikkassetten.,,
Kasten,der,¨-,noun,box / crate / chest,বাক্স / সিন্দুক,,,Ich habe zwei Kästen Bier gekauft.,,
Katalog,der,-e,noun,catalog / catalogue,ক্যাটালগ,,,Ich habe mir ein Kleid aus dem Katalog bestellt.,,
Katastrophe,die,-n,noun,catastrophe / disaster,দুর্যোগ / বিপর্যয়,,,Der Urlaub war eine Katastrophe. Es hat nur geregnet.,,
kaufen,,,verb,to buy,কেনা,gekauft,hat,Im Supermarkt kauft man sehr günstig ein.,,
Kauf,der,,noun,purchase / buy,ক্রয় / কেনা,,,Der neue Esstisch war ein guter Kauf.,,
Käufer,der,-,noun,buyer / purchaser (male),ক্রেতা (পুরুষ),,,Ich habe schon einen Käufer für den alten Tisch.,,
Käuferin,die,-nen,noun,buyer / purchaser (female),ক্রেতা (মহিলা),,,Ich habe schon eine Käuferin für den alten Tisch.,,
kaum,,,adv,hardly / barely / scarcely,খুব কম / সবে মাত্র,,,Ich kann Sie kaum verstehen. Bitte sprechen Sie lauter.,,
kein-,,,pronoun,no / not a / not any,কোনো না / নেই,,,Ich habe leider heute keine Zeit.,,
Keller,der,-,noun,cellar / basement,বেসমেন্ট / সেলার,,,Unser Keller ist nicht besonders groß.,,
Kellner,der,-,noun,waiter (male),ওয়েটার (পুরুষ),,,Ich bin Kellnerin von Beruf.,"D/A: Kellner/Ober, CH: Serviceangestellter",
Kellnerin,die,-nen,noun,waitress (female),ওয়েট্রেস (মহিলা),,,Ich bin Kellnerin von Beruf.,"D/A: Kellnerin, CH: Serviceangestellte",
kennen,,,verb,to know (person/place),চেনা / জানা (ব্যক্তি/স্থান),gekannt,hat,Kennen Sie hier in der Nähe ein gemütliches Café?,,
kennenlernen,,,verb,to get to know / meet,পরিচিত হওয়া / দেখা করা,kennengelernt,hat,Wo habt ihr euch kennengelernt?,,
Kenntnisse,,(Pl.),noun,knowledge / skills,জ্ঞান / দক্ষতা,,,In vielen Berufen braucht man heute Sprachkenntnisse.,,
Kennzeichen,das,-,noun,license plate / registration / sign,নম্বর প্লেট / চিহ্ন,,,Das Auto hat ein Schweizer Kennzeichen.,,
Kerze,die,-n,noun,candle,মোমবাতি,,,Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.,,
Kette,die,-n,noun,chain / necklace,চেইন / নেকলেস,,,Ich habe zum Geburtstag eine goldene Kette bekommen.,,
Kind,das,-er,noun,child,শিশু / বাচ্চা,,,Mein Bruder hat zwei Kinder.,,
Kindergarten,der,¨-,noun,kindergarten / nursery school,কিন্ডারগার্টেন / শিশু বিদ্যালয়,,,Morgens bringe ich meinen Sohn in den Kindergarten.,,
Kindheit,die,,noun,childhood,শৈশব,,,In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.,,
Kino,das,-s,noun,cinema / movie theater,সিনেমা হল,,,Wollen wir ins Kino gehen?,,
Kiosk,der,-e,noun,kiosk / newsstand,কিয়স্ক / পত্রিকার দোকান,,,Zeitungen bekommst du am Kiosk.,,
