Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Bund,der,Bünde,noun,federation/federal government,যুক্তরাষ্ট্র/কেন্দ্রীয় সরকার,,,"der Bundeskanzler, Bundesrepublik Deutschland",,
Bundesland,das,-“er ,noun,federal state,কেন্দ্রীয় রাজ্য,,,,,
Bundesrepublik,die,,noun,federal republic,কেন্দ্রীয় প্রজাতন্ত্র,,,,Bundesrepublik Deutschland,
Bundeskanzler,der,-,noun,federal chancellor (male),কেন্দ্রীয় চ্যান্সেলর (পুরুষ),,,,,
Bundeskanzlerin,die,-nen,noun,federal chancellor (female),কেন্দ্রীয় চ্যান্সেলর (মহিলা),,,,,
Bundestag,der,,noun,federal parliament (Germany),কেন্দ্রীয় সংসদ (জার্মানি),,,,,
Bundespräsident,der,-en,noun,federal president (male),কেন্দ্রীয় রাষ্ট্রপতি (পুরুষ),,,,,
Bundespräsidentin,die,-nen,noun,federal president (female),কেন্দ্রীয় রাষ্ট্রপতি (মহিলা),,,,,
Bürgermeister,der,-,noun,mayor (male),মেয়র (পুরুষ),,,,,
Bürgermeisterin,die,-nen,noun,mayor (female),মেয়র (মহিলা),,,,,
Nationalrat,der,,noun,national council,জাতীয় পরিষদ,,,,,
Republik,die,-en,noun,republic,প্রজাতন্ত্র,,,,Republik Österreich,
Demokratie,die,-n,noun,democracy,গণতন্ত্র,,,,,
