Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
lächeln,,,verb,to smile,হাসি / মুচকি হাসা,gelächelt,hat,Schauen Sie in die Kamera. Bitte lächeln!,,
lachen,,,verb,to laugh,হাসা,gelacht,hat,Lachen ist gesund.,,
Laden,der,¨-,noun,shop / store,দোকান,,,Dieses Kleid habe ich in einem Laden im Zentrum gekauft.,,
Lage,die,,noun,location / situation,অবস্থান / পরিস্থিতি,,,Wir suchen eine Wohnung an/in zentraler Lage.,,
Lager,das,-,noun,storage / warehouse / camp,গুদাম / স্টোর / ক্যাম্প,,,"Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach.",,
Lampe,die,-n,noun,lamp / light,বাতি / ল্যাম্প,,,Ich habe mir eine neue Lampe gekauft.,,
Land,das,¨-er,noun,country / land / countryside,দেশ / ভূমি / গ্রামাঞ্চল,,,Deutschland ist ein schönes Land.,,
Landwirtschaft,die,,noun,agriculture / farming,কৃষি / কৃষিকাজ,,,Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.,,
Landschaft,die,-en,noun,landscape / scenery,প্রাকৃতিক দৃশ্য / ল্যান্ডস্কেপ,,,Die Landschaft ist sehr hügelig.,,
landen,,,verb,to land,অবতরণ করা / নামা,gelandet,ist,Wir sind erst um 20 Uhr in München gelandet.,,
Landung,die,-en,noun,landing,অবতরণ,,,Bei der Landung müssen Sie sich anschnallen.,,
lang,,,adj,long,লম্বা,,,Der Teppich ist 3 m lang und 2 m breit.,,
Länge,die,,noun,length,দৈর্ঘ্য,,,"Mein Schreibtisch hat folgende Maße: Länge 1.20 m, Breite: 0.85 m, Höhe: 0.75 m.",,
lange/lang,,,adv,long / for a long time,অনেকক্ষণ / দীর্ঘ সময়,,,Wie lange dauert die Fahrt von Hamburg nach Berlin?,,
langsam,,,adj,slow / slowly,ধীরে / আস্তে,,,Könnten Sie bitte etwas langsamer sprechen?,,
längst,,,adv,long ago / long since,অনেক আগেই / বহু আগে,,,Wann reparierst du die Heizung? – Die habe ich schon längst repariert.,,
langweilig,,,adj,boring,একঘেয়ে / বিরক্তিকর,,,Der Film war sehr langweilig.,,
sich langweilen,,,verb,to be bored,একঘেয়ে লাগা / বিরক্ত হওয়া,gelangweilt,hat,Langweilst du dich?,,
Langeweile,die,,noun,boredom,একঘেয়েমি / বিরক্তি,,,Er ist aus Langeweile eingeschlafen.,,
Lärm,der,,noun,noise / loud noise,শব্দ / গোলমাল,,,Die Flugzeuge machen einen schrecklichen Lärm.,,
lassen,,,verb,to let / leave / allow,ছেড়ে দেওয়া / দেওয়া / অনুমতি দেওয়া,gelassen,hat,Ich habe mein Gepäck am Bahnhof gelassen.,,
Laster,der,-,noun,truck / lorry,ট্রাক / লরি,,,Auf der Autobahn waren so viele Laster.,,
laufen,,,verb,to run / walk / go,দৌড়ানো / হাঁটা / চলা,gelaufen,ist,"Ich bin gestern 100 m in 10,4 Sekunden gelaufen.",,
Laufwerk,das,-e,noun,disk drive / drive,ডিস্ক ড্রাইভ,,,Für meinen Computer habe ich mir ein neues Laufwerk gekauft.,,
Laune,die,-n,noun,mood / temper,মেজাজ / মনোভাব,,,"Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune.",,
laut,,,adj,loud / according to,জোরে / অনুযায়ী,,,Lass uns gehen. Hier ist es mir zu laut.,,
Lautsprecher,der,-,noun,loudspeaker / speaker,লাউডস্পিকার,,,Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.,,
lecker,,,adj,delicious / tasty,সুস্বাদু / মজাদার,,,Das Essen war sehr lecker.,,
leben,,,verb,to live,বেঁচে থাকা / বসবাস করা,gelebt,hat,Leben Ihre Großeltern noch?,,
Leben,das,,noun,life,জীবন,,,Ich habe mich an das Leben auf dem Land gewöhnt.,,
Lebenslauf,der,¨-e,noun,CV / resume / curriculum vitae,জীবনবৃত্তান্ত / সিভি,,,Hast du den Lebenslauf für die Bewerbung schon geschrieben?,,
Lebensmittel,,(Pl.),noun,food / groceries,খাদ্যদ্রব্য / খাবার,,,Lebensmittel werden immer teurer.,,
Leder,das,,noun,leather,চামড়া,,,Ist die Tasche aus Leder?,,
ledig,,,adj,single / unmarried,অবিবাহিত,,,Wie ist Ihr Familienstand? – Ledig.,,
leer,,,adj,empty,খালি,,,Das Restaurant war fast leer.,,
legen,,,verb,to lay / put / place,রাখা / স্থাপন করা,gelegt,hat,Ich habe Ihnen die Briefe auf den Schreibtisch gelegt.,,
Lehre,die,,noun,apprenticeship / teaching,শিক্ষানবিশি / শিক্ষা,,,Mein Cousin will eine dreijährige Lehre machen.,,
Lehrstelle,die,-n,noun,apprenticeship position,শিক্ষানবিশির জায়গা,,,Es sind noch viele Lehrstellen frei.,,
Lehrer,der,-,noun,teacher (male),শিক্ষক (পুরুষ),,,Die Lehrerin hat heute viele Hausaufgaben gegeben.,,
Lehrerin,die,-nen,noun,teacher (female),শিক্ষিকা (মহিলা),,,Die Lehrerin hat heute viele Hausaufgaben gegeben.,,
Lehrling,der,-e,noun,apprentice / trainee,শিক্ষানবিশ,,,Als Lehrling verdient man nicht sehr viel Geld.,,
leicht,,,adj,light / easy,হালকা / সহজ,,,Der Koffer ist ganz leicht. Ich kann ihn allein tragen.,,
leid tun,,,verb,to be sorry / feel sorry,দুঃখিত হওয়া / খারাপ লাগা,leidgetan,hat,Die Frau tut mir leid.,,
