Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
icht,,,verb,,,,,,,
ideal,,,adj,ideal / perfect,আদর্শ / নিখুঁত,,,Eine Wohnung mit Garten wäre für uns ideal.,,
Idee,die,-n,noun,idea,ধারণা / আইডিয়া,,,Du willst ein Picknick machen? Ich finde die Idee toll.,,
iert,,,verb,,,,,,,
Ihre Notizen,,,,,,,,,,
illegal,,,adj,illegal,অবৈধ,,,Ohne Steuerkarte zu arbeiten ist illegal.,,
Imbiss,der,-e,noun,snack / snack bar (Germany),জলখাবার / স্ন্যাক (জার্মানি),,,Es ist Zeit für einen kleinen Imbiss.,"D: Imbiss, A: Jause, CH: Znüni/Zvieri",
immer,,,adv,always,সবসময়,,,Frau Bast kommt immer zu spät.,,
immt,,,verb,,,,,,,
Import,der,-e,noun,import,আমদানি,,,"Im dritten Stock ist die Firma Schmidt & Co, Import und Export.",,
in Rente gehen,,,verb,to retire (D),অবসর নেওয়া (জার্মানি),in Rente gegangen,ist,Nächstes Jahr gehe ich in Rente.,,
indem,,,conjunction,by (doing something),দ্বারা / করে,,,"Du kannst die Datei öffnen, indem du hier klickst.",,
individuell,,,adj,individual / personalized,ব্যক্তিগত / স্বতন্ত্র,,,"Die Lehrerin versucht, jedes Kind individuell zu fördern.",,
Industrie,die,-n,noun,industry,শিল্প,,,In dieser Gegend gibt es viel Industrie.,,
Infektion,die,-en,noun,infection,সংক্রমণ / ইনফেকশন,,,Sie haben eine Infektion. Sie müssen Tabletten nehmen.,,
Information,die,-en,noun,information,তথ্য,,,Bitte lesen Sie diese Informationen genau.,,
informieren,,,verb,to inform,জানানো / তথ্য দেওয়া,informiert,hat,Wir informieren Sie rechtzeitig über die neuen Prüfungstermine.,,
Ingenieur,der,-e,noun,engineer,প্রকৌশলী,,,Hans will Bauingenieur werden.,,
Inhalt,der,-e,noun,content / contents,বিষয়বস্তু / ভিতরের জিনিস,,,Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.,,
inklusive,,,preposition,including / inclusive,সহ / সমেত,,,Der Zimmerpreis ist inklusive Frühstück.,,
innen,,,adv,inside,ভিতরে,,,Der Lichtschalter ist innen links.,,
inner-,,,adj,inner / internal,অভ্যন্তরীণ,,,"Wir müssen Sie untersuchen. Es kann sein, dass Sie innere Verletzungen haben.",,
innerhalb,,,preposition,within / inside of,মধ্যে / ভিতরে,,,Diese Fahrkarte gilt nur innerhalb der Stadt.,,
Insel,die,-n,noun,island,দ্বীপ,,,Ich würde dieses Mal gern auf einer Insel Ferien machen.,,
Inserat,das,-e,noun,advertisement / ad,বিজ্ঞাপন,,,Was kostet ein Inserat in der Zeitung?,,
insgesamt,,,adv,altogether / in total,সর্বমোট / মোটে,,,Insgesamt haben sich 20 Teilnehmer für die Prüfung angemeldet.,,
installieren,,,verb,to install,ইনস্টল করা,installiert,hat,"Können Sie mir helfen, meinen Computer zu installieren?",,
Institut,das,-e,noun,institute,প্রতিষ্ঠান / ইনস্টিটিউট,,,Ich besuche einen Sprachkurs in einem kleinen Sprachinstitut.,,
Instrument,das,-e,noun,instrument,যন্ত্র / বাদ্যযন্ত্র,,,Ich spiele Klavier. Spielen Sie auch ein Musikinstrument?,,
Integration,die,-en,noun,integration,একীভূতকরণ / সংহতি,,,Gute Deutschkenntnisse sollen bei der Integration helfen.,,
integrieren,,,verb,to integrate,একীভূত করা / সংহত করা,integriert,hat,Sie ist schon sehr gut im Team integriert.,,
intelligent,,,adj,intelligent,বুদ্ধিমান / মেধাবী,,,Maria ist sehr intelligent. Sie kann sehr gut rechnen.,,
Intelligenz,die,,noun,intelligence,বুদ্ধিমত্তা,,,Meine Kinder haben in der Schule einen Intelligenztest gemacht.,,
intensiv,,,adj,intensive / intensely,নিবিড় / গভীরভাবে,,,Ich möchte intensiv Deutsch lernen.,,
Intensivkurs,der,-e,noun,intensive course,নিবিড় কোর্স,,,Der Intensivkurs findet täglich von 9 bis 12 Uhr statt.,,
interessant,,,adj,interesting,আকর্ষণীয় / মজার,,,Ich habe einen interessanten Bericht gelesen.,,
Interesse,das,-n,noun,interest,আগ্রহ,,,"Ich habe viele Interessen: Sport, Lesen, Handarbeit, Tanzen.",,
interessieren,,,verb,to interest,আগ্রহী করা / আগ্রহ জন্মানো,interessiert,hat,Das Thema Kindererziehung interessiert mich sehr.,,
interessiert,,,adj,interested,আগ্রহী,,,Mein Nachbar zieht nächsten Monat aus. Sind Sie noch an der Wohnung interessiert?,,
interkulturell,,,adj,intercultural,আন্তঃসাংস্কৃতিক,,,Wir haben in der Sprachschule ein interkulturelles Fest gefeiert.,,
international,,,adj,international,আন্তর্জাতিক,,,Die Teilnehmenden in unserem Kurs sind ganz international.,,
Interview,das,-s,noun,interview,সাক্ষাৎকার / ইন্টারভিউ,,,Ich habe im Fernsehen ein interessantes Interview mit zwei Schauspielern gesehen.,,
inzwischen,,,adv,meanwhile / in the meantime,ইতিমধ্যে / এর মধ্যে,,,Herr Müller kommt gleich zurück. Sie können inzwischen in seinem Büro warten.,,
irgend-,,,prefix,some- / any- (prefix),কোনো- / যেকোনো- (উপসর্গ),,,"Was für einen Saft möchten Sie? – Ganz egal, irgendeinen.",,
irgendein,,,pronoun,some / any (at all),কোনো একটা / যেকোনো,,,"Was für einen Saft möchten Sie? – Ganz egal, irgendeinen.",,
irgendwann,,,adv,sometime / at some point,কোনো এক সময়,,,Ich habe Sie irgendwann schon mal gesehen.,,
